finding_id,uuid,net,layer,reference,start_x,start_y,end_x,end_y,historical_adjacent_gap_mm,historical_both_gap_mm
I20-GND-01,045a8466-bd32-4eaa-b1f0-600ad27ea23b,CAN_RX_MCU,F.Cu,In1.Cu,25.5,27.5,25.6,27.4,0.14142135623731153,0.0
I20-GND-02,2af2bbcd-0762-43fc-990f-932f16c948dc,CAN_RX_MCU,F.Cu,In1.Cu,25.6,25.8,24.9,25.1,0.5748749846775447,0.0
I20-GND-03,3cb08c20-61e0-4499-9533-e8c53f87870f,CAN_RX_MCU,F.Cu,In1.Cu,25.6,27.4,25.6,25.8,1.5999999999999979,0.0
I20-GND-04,532a64af-95c7-4e97-8200-a2b6caad1c40,CAN_RX_MCU,F.Cu,In1.Cu,38.6,38.6,38.5,38.6,0.10000000000000142,0.0
I20-GND-05,6b8bcaa8-cd83-445e-9672-248530cf9ab1,CAN_RX_MCU,F.Cu,In1.Cu,23.9,31,25.1,29.8,0.9913580503692976,0.0
I20-GND-06,9e2e97fc-9590-4daf-80c6-69c69e27069f,CAN_RX_MCU,F.Cu,In1.Cu,25.1,28,25.5,27.6,0.354257668947336,0.0
I20-GND-07,a7d99572-0ff2-4ca3-9f29-3ee86f5182bc,CAN_RX_MCU,F.Cu,In1.Cu,39.6,39.6,38.6,38.6,0.35425766894732597,0.0
I20-GND-08,df746851-8e9b-46eb-9007-0b9aef9e0fc6,CAN_RX_MCU,F.Cu,In1.Cu,25.5,27.6,25.5,27.5,0.10000000000000142,0.0
I20-GND-09,e290dfec-5c37-43ea-8644-3d01c3213a09,CAN_RX_MCU,F.Cu,In1.Cu,38.5,38.6,36.8,36.9,0.354257668947336,0.0
I20-GND-10,072c6d8e-2a6f-4e7a-9f1b-b812ffe223f4,CAN_TX_MCU,F.Cu,In1.Cu,80.55,15.95,80.45,16.05,0.1414213562373065,0.0
I20-GND-11,0eec71a5-dda0-408b-9559-9ccd0314bf57,CAN_TX_MCU,F.Cu,In1.Cu,80.75,15.8,80.6,15.95,0.21213203435596725,0.0
I20-GND-12,1e022bfe-d6e7-4f42-8d71-4fb4fd26698b,CAN_TX_MCU,F.Cu,In1.Cu,74.7,16.45,74.65,16.45,0.04999999999999716,0.0
I20-GND-13,3cd9494b-1d5d-47a2-aa04-327840a5c89e,CAN_TX_MCU,F.Cu,In1.Cu,81.684766,14.25,81.7,14.25,0.015234000000006631,0.0
