time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-1.012824629999999995e-92,1.292000399999999940e-93,1.290812579999999904e-93,1.123808759999999945e-94,3.864578939999999925e-94,1.585214490000000074e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.286983430000000047e-53,9.999999979999999707e-10,4.965085750000000096e-42,-6.121397660000000307e-45,7.421921249999999534e-43,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-9.929809379999999445e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.218741590000000181e-94,-7.967657270000000229e-45,4.962725780000000176e-42,9.999999979999999707e-10,6.696700160000000345e-11,-1.379870069999999979e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.987084290000000221e-45,-1.012734059999999921e-92,1.292007090000000044e-93,-1.423092860000000073e-99
1.365600000000000071e-04,-1.012697360000000006e-92,1.263922060000000082e-93,1.263395530000000042e-93,-5.055462010000000512e-97,3.780592170000000199e-94,1.551544539999999894e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.664234989999999539e-55,9.999999979999999707e-10,4.569144580000000220e-42,-7.656903630000000435e-45,-5.761419060000000111e-53,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,-1.023515269999999973e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.150375030000000069e-94,-7.656899999999999601e-45,4.559993200000000055e-42,9.999999979999999707e-10,6.379365840000000148e-10,-1.379696669999999971e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.510331349999999980e-45,-1.012699990000000050e-92,1.263922060000000082e-93,1.374128800000000002e-104
2.865599999999999940e-04,-1.012655319999999925e-92,1.233574369999999925e-93,1.233060490000000060e-93,-4.934076689999999602e-97,3.689817399999999954e-94,1.514290830000000108e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.945392159999999778e-55,9.999999979999999707e-10,4.137130300000000127e-42,-7.654337910000000545e-45,-1.693466109999999907e-53,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,-9.989400109999999852e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.074732240000000041e-94,-7.654334220000000119e-45,4.127982670000000009e-42,9.999999979999999707e-10,8.719998320000000454e-10,-1.379639390000000093e-93,0.000000000000000000e+00,0.000000000000000000e+00,-3.233598509999999994e-46,-1.012657949999999970e-92,1.233574369999999925e-93,1.341427670000000059e-104
4.365600000000000079e-04,-1.012613269999999942e-92,1.203955359999999922e-93,1.203453810000000014e-93,-4.815605929999999529e-97,3.601222200000000192e-94,1.477931609999999901e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.365437520000000012e-56,9.999999979999999707e-10,3.705368839999999960e-42,-7.651752559999999910e-45,-2.544663289999999857e-54,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,-9.749547350000000042e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000905679999999983e-94,-7.651748859999999760e-45,3.696224939999999684e-42,9.999999979999999707e-10,9.547481390000000813e-10,-1.379582120000000074e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.108702909999999961e-46,-1.012615899999999987e-92,1.203955359999999922e-93,1.310770359999999968e-104
5.865599999999999677e-04,-1.012571230000000033e-92,1.175047509999999946e-93,1.174558010000000070e-93,-4.699979729999999557e-97,3.514754239999999979e-94,1.442445400000000009e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.463366729999999870e-55,9.999999979999999707e-10,3.273860049999999768e-42,-7.649164410000000474e-45,2.368041940000000080e-54,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,-9.515453629999999976e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.928851760000000157e-94,-7.649160710000000324e-45,3.264719879999999972e-42,9.999999979999999707e-10,9.840021230000000829e-10,-1.379524839999999983e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.281606460000000115e-47,-1.012573860000000077e-92,1.175047509999999946e-93,1.277387949999999967e-104
7.365600000000000359e-04,-1.012529200000000026e-92,1.146833769999999907e-93,1.146356009999999918e-93,-4.587129799999999826e-97,3.430362440000000098e-94,1.407811229999999960e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.154362330000000585e-55,9.999999979999999707e-10,2.842603779999999920e-42,-7.646576489999999681e-45,3.863347299999999960e-54,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,-9.286980670000000443e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.858527899999999820e-94,-7.646572789999999531e-45,2.833467339999999966e-42,9.999999979999999707e-10,9.943442740000000773e-10,-1.379467569999999965e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.598631629999999599e-47,-1.012531830000000071e-92,1.146833769999999907e-93,1.246730640000000030e-104
8.865599999999999956e-04,-1.012487159999999946e-92,1.119297460000000091e-93,1.118831169999999925e-93,-4.476989490000000244e-97,3.347996939999999847e-94,1.374008660000000031e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.083577730000000015e-54,9.999999979999999707e-10,2.411599889999999930e-42,-7.643989330000000359e-45,4.126241259999999873e-54,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,-9.063993520000000108e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.789892559999999900e-94,-7.643985630000000209e-45,2.402467180000000136e-42,9.999999979999999707e-10,9.980005320000000403e-10,-1.379410299999999947e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.474585380000000119e-47,-1.012489789999999990e-92,1.119297460000000091e-93,1.218117149999999944e-104
1.031000000000000015e-03,-1.012446680000000067e-92,1.093406870000000039e-93,1.092951370000000031e-93,-4.373431609999999921e-97,3.270554079999999795e-94,1.342226329999999886e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.151815060000000090e-12,1.805779419999999994e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,-8.854333320000000113e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.725359270000000021e-94,1.106519050000000072e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,-1.379355149999999937e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.606943039999999919e-16,-1.012449309999999941e-92,1.093406870000000039e-93,3.290551359999999900e-105
1.180999999999999975e-03,-1.012404650000000060e-92,1.067153380000000041e-93,1.066708820000000013e-93,-4.268422509999999763e-97,3.192025699999999808e-94,1.309998500000000056e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.306861760000000074e-11,3.143559529999999715e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,-8.641734369999999708e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.659921410000000025e-94,5.298749539999999790e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,-1.379297889999999992e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.339597880000000076e-13,-1.012407279999999935e-92,1.067153380000000041e-93,1.160890169999999927e-104
1.330999999999999935e-03,-1.012362620000000054e-92,1.041530249999999908e-93,1.041096360000000010e-93,-4.165934580000000107e-97,3.115382840000000154e-94,1.278544479999999974e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038496219999999970e-10,3.122014699999999747e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,-8.434240050000000351e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.596054770000000178e-94,1.037667799999999966e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,-1.379240619999999974e-93,0.000000000000000000e+00,0.000000000000000000e+00,6.304674100000000381e-13,-1.012365249999999928e-92,1.041530249999999908e-93,1.133639229999999951e-104
