time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,1.089328559999999934e-92,-1.394915409999999994e-93,-1.394716970000000053e-93,-3.059524280000000262e-95,-4.180607010000000027e-94,-1.712810719999999941e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.039656500000000063e-54,9.999999979999999707e-10,4.952225520000000072e-42,2.161866889999999899e-45,2.989970900000000043e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,1.489062540000000090e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.485411510000000081e-94,-5.294060450000000016e-45,4.966865879999999794e-42,9.999999979999999707e-10,6.696700160000000345e-11,1.487820489999999952e-93,0.000000000000000000e+00,-1.089328560000000054e-96,-7.154471750000000243e-45,1.025567519999999973e-92,-1.394915809999999947e-93,8.425108639999999653e-101
3.125599999999999754e-04,1.074525750000000073e-92,-1.390504519999999897e-93,-1.390414199999999954e-93,2.388076780000000145e-104,-4.167387419999999979e-94,-1.707526620000000031e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.308474450000000030e-55,9.999999979999999707e-10,4.044349399999999822e-42,2.966137869999999910e-45,-1.187428740000000021e-48,0.000000000000000000e+00,0.000000000000000000e+00,3.225600000000000017e-04,0.000000000000000000e+00,1.369880009999999920e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.474658850000000139e-94,2.966008949999999829e-45,4.035195750000000187e-42,9.999999979999999707e-10,8.931098479999999952e-10,1.467602609999999921e-93,0.000000000000000000e+00,-1.074525750000000002e-96,-3.964407930000000297e-46,9.825664279999999802e-93,-1.390504519999999897e-93,-4.251147099999999613e-105
6.385600000000000390e-04,1.059389669999999971e-92,-1.386045589999999995e-93,-1.385955560000000049e-93,2.362079270000000140e-104,-4.154023850000000049e-94,-1.702051090000000024e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.742658020000000202e-55,9.999999979999999707e-10,3.105730209999999924e-42,2.592206560000000043e-45,-1.036813879999999974e-48,0.000000000000000000e+00,0.000000000000000000e+00,6.485599999999999568e-04,0.000000000000000000e+00,1.365487209999999962e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.463516659999999831e-94,2.592093909999999903e-45,3.096584679999999756e-42,9.999999979999999707e-10,9.888437899999999979e-10,1.446929529999999954e-93,0.000000000000000000e+00,-1.059389669999999950e-96,9.046892110000000499e-49,9.687257150000000524e-93,-1.386045589999999995e-93,-4.210270689999999803e-105
9.645600000000000484e-04,1.044466809999999939e-92,-1.381600960000000021e-93,-1.381511210000000000e-93,2.336430380000000035e-104,-4.140703150000000220e-94,-1.696593130000000033e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.275109380000000032e-54,9.999999979999999707e-10,2.168304400000000063e-42,2.265431490000000133e-45,-9.060123789999999979e-49,0.000000000000000000e+00,0.000000000000000000e+00,9.745599999999999662e-04,0.000000000000000000e+00,1.361108500000000045e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.452410200000000051e-94,2.265333040000000007e-45,2.159166979999999899e-42,9.999999979999999707e-10,9.988356159999999881e-10,1.426547670000000031e-93,0.000000000000000000e+00,-1.044466810000000100e-96,1.874308590000000077e-47,9.550799659999999894e-93,-1.381600960000000021e-93,-4.196645220000000125e-105
1.284999999999999901e-03,1.030003329999999974e-92,-1.377246020000000054e-93,-1.377156560000000031e-93,2.311545270000000078e-104,-4.127651260000000205e-94,-1.691245299999999932e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.285306199999999983e-04,9.999999979999999707e-10,7.709169890000000492e-05,1.721273799999999911e-10,3.117189019999999968e-11,3.419999999999999929e+00,0.000000000000000000e+00,1.294999999999999927e-03,0.000000000000000000e+00,1.356818160000000022e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.441527880000000090e-94,1.720415389999999978e-10,7.801350720000000349e-05,9.999999979999999707e-10,9.998736950000000009e-10,1.406793239999999986e-93,0.000000000000000000e+00,-1.030003329999999903e-96,8.926125989999999880e-13,9.418542919999999613e-93,-1.377246020000000054e-93,-4.183019749999999672e-105
1.611000000000000019e-03,1.015494410000000027e-92,-1.372829600000000059e-93,-1.372740430000000035e-93,2.286553710000000101e-104,-4.114415120000000118e-94,-1.685821989999999946e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.667624379999999991e-04,9.999999979999999707e-10,1.681207649999999889e-04,3.686096360000000038e-10,3.199679209999999901e-11,7.331999999999999851e+00,0.000000000000000000e+00,1.621000000000000045e-03,0.000000000000000000e+00,1.352467250000000010e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.430491930000000254e-94,3.685129920000000235e-10,1.689858670000000008e-04,9.999999979999999707e-10,9.999868160000001030e-10,1.386976749999999917e-93,0.000000000000000000e+00,-1.015494410000000043e-96,2.542694699999999828e-12,9.285870619999999968e-93,-1.372829600000000059e-93,-4.183019749999999672e-105
1.929361400000000016e-03,1.001522719999999915e-92,-1.368530339999999944e-93,-1.368441450000000058e-93,2.262469619999999999e-104,-4.101530079999999757e-94,-1.680542529999999900e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.512256590000000366e-04,9.999999979999999707e-10,2.531279240000000120e-04,5.459001910000000100e-10,3.359207210000000107e-11,1.115233680000000049e+01,0.000000000000000000e+00,1.939361400000000043e-03,0.000000000000000000e+00,1.348231759999999981e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.419748719999999902e-94,5.457916630000000195e-10,2.539664550000000258e-04,9.999999979999999707e-10,9.999985469999999796e-10,1.367894020000000006e-93,0.000000000000000000e+00,-1.001522720000000004e-96,4.061472710000000090e-12,9.158110889999999791e-93,-1.368530339999999944e-93,-4.142143330000000165e-105
2.242167739999999850e-03,9.879820609999999790e-93,-1.364319210000000103e-93,-1.364230590000000068e-93,2.239106730000000098e-104,-4.088909179999999873e-94,-1.675371299999999912e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.686662779999999799e-04,9.999999979999999707e-10,2.718107510000000227e-04,5.704817480000000306e-10,7.794136849999999946e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.252167739999999876e-03,0.000000000000000000e+00,1.344083080000000068e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.409225739999999856e-94,5.704368359999999539e-10,2.718108809999999912e-04,9.999999979999999707e-10,9.999998320000000170e-10,1.349399999999999975e-93,0.000000000000000000e+00,-9.879820609999999727e-97,4.763417750000000229e-12,9.034292610000000497e-93,-1.364319210000000103e-93,-4.128517859999999712e-105
2.568167740000000185e-03,9.740650620000000021e-93,-1.359944239999999906e-93,-1.359855910000000082e-93,2.215066550000000151e-104,-4.075797270000000107e-94,-1.669998889999999899e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.467553449999999912e-04,9.999999979999999707e-10,2.717160519999999805e-04,5.539718760000000240e-10,7.796192639999999549e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.578167740000000211e-03,0.000000000000000000e+00,1.339773009999999935e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.398293380000000215e-94,5.539276920000000056e-10,2.717161260000000101e-04,9.999999979999999707e-10,9.999999809999999156e-10,1.330391959999999904e-93,0.000000000000000000e+00,-9.740650619999999539e-97,4.676959200000000241e-12,8.907032959999999665e-93,-1.359944239999999906e-93,-4.142143330000000165e-105
2.894167740000000086e-03,9.603441020000000254e-93,-1.355583310000000073e-93,-1.355495259999999961e-93,2.191344390000000050e-104,-4.062727410000000070e-94,-1.664643699999999997e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.536188620000000130e-04,9.999999979999999707e-10,2.716149840000000172e-04,5.395097769999999487e-10,7.796846369999999523e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.904167740000000112e-03,0.000000000000000000e+00,1.335476760000000072e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.387396070000000053e-94,5.394662340000000354e-10,2.716149889999999972e-04,9.999999979999999707e-10,9.999999960000000858e-10,1.311651680000000037e-93,0.000000000000000000e+00,-9.603441020000000909e-97,4.553290250000000022e-12,8.781565939999999746e-93,-1.355583310000000073e-93,-4.128517859999999712e-105
