time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-1.012729480000000050e-92,1.291298389999999965e-93,1.290884880000000096e-93,-5.157372460000000496e-97,3.862479119999999989e-94,1.585303129999999990e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.599364570000000097e-53,9.999999979999999707e-10,4.969751179999999923e-42,-8.107637720000000618e-45,8.127834930000000045e-44,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-8.814634840000000415e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.218921860000000016e-94,-8.308385880000000082e-45,4.962639109999999852e-42,9.999999979999999707e-10,6.696700160000000345e-11,-1.379740430000000106e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.987056280000000030e-45,-1.012733220000000061e-92,1.291298389999999965e-93,1.520057600000000069e-103
1.365600000000000071e-04,-1.012691490000000041e-92,1.263091989999999901e-93,1.262565800000000013e-93,-5.052139109999999826e-97,3.778109280000000017e-94,1.550525570000000023e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.664458940000000445e-55,9.999999979999999707e-10,4.576250499999999755e-42,-7.868558180000000018e-45,1.071270749999999953e-52,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,-1.022843160000000058e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.148306039999999849e-94,-7.868554449999999449e-45,4.567099070000000031e-42,9.999999979999999707e-10,6.379365840000000148e-10,-1.379688679999999913e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.511681470000000012e-45,-1.012694119999999915e-92,1.263091989999999901e-93,1.375491349999999956e-104
2.865599999999999940e-04,-1.012649449999999961e-92,1.232764230000000092e-93,1.232250680000000093e-93,-4.930833580000000441e-97,3.687394129999999782e-94,1.513296330000000035e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.944755370000000179e-55,9.999999979999999707e-10,4.144232159999999927e-42,-7.865920840000000021e-45,4.247157069999999942e-53,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,-9.982839390000000085e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.072712919999999767e-94,-7.865917040000000136e-45,4.135084469999999829e-42,9.999999979999999707e-10,8.719998320000000454e-10,-1.379631400000000034e-93,0.000000000000000000e+00,0.000000000000000000e+00,-3.250667240000000147e-46,-1.012652080000000005e-92,1.232764230000000092e-93,1.341427670000000059e-104
4.365600000000000079e-04,-1.012607410000000051e-92,1.203164669999999898e-93,1.202663450000000068e-93,-4.812440690000000288e-97,3.598857119999999867e-94,1.476960980000000014e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.367684570000000087e-56,9.999999979999999707e-10,3.712466640000000026e-42,-7.863263899999999699e-45,1.886604759999999947e-53,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,-9.743144160000000366e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.998934859999999909e-94,-7.863260090000000089e-45,3.703322679999999770e-42,9.999999979999999707e-10,9.547481390000000813e-10,-1.379574130000000016e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.126405279999999987e-46,-1.012610039999999925e-92,1.203164669999999898e-93,1.308045260000000059e-104
5.865599999999999677e-04,-1.012565369999999971e-92,1.174275809999999974e-93,1.173786620000000030e-93,-4.696890489999999571e-97,3.512445949999999878e-94,1.441498080000000086e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.463830550000000102e-55,9.999999979999999707e-10,3.280953790000000101e-42,-7.860604189999999748e-45,1.007346089999999988e-53,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,-9.509204199999999589e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.926928250000000176e-94,-7.860600380000000138e-45,3.271813570000000108e-42,9.999999979999999707e-10,9.840021230000000829e-10,-1.379516849999999925e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.459714829999999887e-47,-1.012568000000000015e-92,1.174275809999999974e-93,1.277387949999999967e-104
7.365600000000000359e-04,-1.012523330000000061e-92,1.146080589999999948e-93,1.145603149999999964e-93,-4.584114739999999891e-97,3.428109570000000071e-94,1.406886660000000047e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.154136890000000653e-55,9.999999979999999707e-10,2.849693469999999984e-42,-7.857944730000000379e-45,6.625069010000000419e-54,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,-9.280881299999999392e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.856650580000000022e-94,-7.857940919999999525e-45,2.840556970000000050e-42,9.999999979999999707e-10,9.943442740000000773e-10,-1.379459579999999907e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.776884620000000470e-47,-1.012525959999999935e-92,1.146080589999999948e-93,1.246049369999999979e-104
8.865599999999999956e-04,-1.012481289999999981e-92,1.118562369999999970e-93,1.118096389999999950e-93,-4.474046819999999850e-97,3.345798170000000112e-94,1.373106290000000084e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.083572380000000063e-54,9.999999979999999707e-10,2.418685530000000045e-42,-7.855286049999999441e-45,5.104795980000000011e-54,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,-9.058040590000000153e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.788060320000000018e-94,-7.855282239999999831e-45,2.409552759999999952e-42,9.999999979999999707e-10,9.980005320000000403e-10,-1.379402310000000101e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.652814730000000426e-47,-1.012483920000000026e-92,1.118562369999999970e-93,1.216754599999999990e-104
1.031000000000000015e-03,-1.012440820000000005e-92,1.092688789999999926e-93,1.092233589999999990e-93,-4.370557020000000218e-97,3.268406170000000112e-94,1.341344829999999943e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.152480870000000010e-12,1.806425289999999955e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,-8.848518099999999511e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.723569409999999946e-94,1.107169499999999930e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,-1.379347160000000091e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.610274399999999868e-16,-1.012443450000000050e-92,1.092688789999999926e-93,3.276925889999999834e-105
1.180999999999999975e-03,-1.012398779999999925e-92,1.066452530000000058e-93,1.066008270000000102e-93,-4.265616939999999825e-97,3.189929360000000169e-94,1.309138169999999923e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.306965699999999975e-11,3.143556770000000060e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,-8.636058780000000585e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.658174529999999899e-94,5.298853479999999691e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,-1.379289899999999934e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.339670779999999951e-13,-1.012401409999999970e-92,1.066452530000000058e-93,1.160208900000000031e-104
1.330999999999999935e-03,-1.012356749999999918e-92,1.040846230000000103e-93,1.040412629999999990e-93,-4.163196380000000083e-97,3.113336840000000266e-94,1.277704810000000061e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038506229999999997e-10,3.122014480000000266e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,-8.428700740000000501e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.594349829999999931e-94,1.037677800000000052e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,-1.379232629999999916e-93,0.000000000000000000e+00,0.000000000000000000e+00,6.304756710000000086e-13,-1.012359379999999963e-92,1.040846230000000103e-93,1.132957950000000047e-104
1.480999999999999895e-03,-1.012314720000000082e-92,1.015854760000000005e-93,1.015431570000000030e-93,-4.063235010000000032e-97,3.038583360000000090e-94,1.247026190000000104e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.784864869999999865e-04,9.999999979999999707e-10,1.324816909999999978e-04,1.532821710000000056e-10,3.155904519999999693e-11,5.772000000000000242e+00,0.000000000000000000e+00,1.490999999999999921e-03,0.000000000000000000e+00,-8.226321510000000041e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.532057609999999752e-94,1.531962790000000023e-10,1.333635490000000055e-04,9.999999979999999707e-10,9.999675369999999793e-10,-1.379175369999999971e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.043880150000000077e-12,-1.012317349999999956e-92,1.015854760000000005e-93,1.104344459999999961e-104
1.631000000000000071e-03,-1.012272699999999978e-92,9.914633500000000066e-94,9.910503200000000391e-94,-3.965673790000000215e-97,2.965624769999999945e-94,1.217084180000000079e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.796226759999999787e-04,9.999999979999999707e-10,1.735463790000000119e-04,2.020455520000000071e-10,3.215517269999999731e-11,7.572000000000000064e+00,0.000000000000000000e+00,1.641000000000000097e-03,0.000000000000000000e+00,-8.028801560000000562e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.471261069999999821e-94,2.019559960000000084e-10,1.744093109999999940e-04,9.999999979999999707e-10,9.999885220000000927e-10,-1.379118110000000026e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.454235260000000042e-12,-1.012275330000000023e-92,9.914633500000000066e-94,1.078456069999999940e-104
1.781000000000000031e-03,-1.012230669999999972e-92,9.676575950000000467e-94,9.672544819999999225e-94,-3.870455090000000048e-97,2.894417969999999855e-94,1.187861110000000035e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.704613019999999575e-04,9.999999979999999707e-10,2.138424579999999894e-04,2.504753819999999811e-10,3.288742340000000119e-11,9.371999999999999886e+00,0.000000000000000000e+00,1.791000000000000057e-03,0.000000000000000000e+00,-7.836024200000000552e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.411924289999999920e-94,2.503818360000000184e-10,2.146915589999999973e-04,9.999999979999999707e-10,9.999959409999999099e-10,-1.379060859999999942e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.861029470000000055e-12,-1.012233300000000016e-92,9.676575950000000467e-94,1.052567670000000065e-104
1.923361400000000087e-03,-1.012190790000000065e-92,9.455930140000000246e-94,9.451990929999999612e-94,-3.782200759999999787e-97,2.828419289999999847e-94,1.160775430000000007e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.481352469999999760e-04,9.999999979999999707e-10,2.515484960000000081e-04,2.963002129999999877e-10,3.365761160000000093e-11,1.108033679999999954e+01,0.000000000000000000e+00,1.933361399999999897e-03,0.000000000000000000e+00,-7.657346750000000632e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.356927469999999965e-94,2.962026980000000150e-10,2.523874090000000135e-04,9.999999979999999707e-10,9.999984859999999767e-10,-1.379006519999999912e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.245182170000000133e-12,-1.012193410000000037e-92,9.455930140000000246e-94,1.029404369999999945e-104
2.060167739999999980e-03,-1.012152459999999947e-92,9.248636040000000145e-94,9.244783190000000214e-94,-3.699286879999999961e-97,2.766414330000000153e-94,1.135328770000000046e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.524418269999999716e-04,9.999999979999999707e-10,2.718612880000000195e-04,3.225912380000000241e-10,7.895632620000000010e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.070167740000000006e-03,0.000000000000000000e+00,-7.489481429999999934e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.305258599999999881e-94,3.225570979999999876e-10,2.718614449999999885e-04,9.999999979999999707e-10,9.999994120000000072e-10,-1.378954300000000103e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.572773730000000126e-12,-1.012155089999999991e-92,9.248636040000000145e-94,1.006241069999999980e-104
2.210167739999999940e-03,-1.012110440000000013e-92,9.026569570000000338e-94,9.022809230000000447e-94,-3.610464319999999911e-97,2.699990710000000214e-94,1.108068699999999988e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.824984599999999835e-04,9.999999979999999707e-10,2.718197480000000138e-04,3.261703540000000070e-10,7.892282660000000376e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.220167739999999966e-03,0.000000000000000000e+00,-7.309653539999999467e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.249907670000000104e-94,3.261360629999999804e-10,2.718198840000000125e-04,9.999999979999999707e-10,9.999997910000001032e-10,-1.378897050000000019e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.692342730000000017e-12,-1.012113070000000058e-92,9.026569570000000338e-94,9.823964939999999900e-105
2.360167739999999899e-03,-1.012068420000000080e-92,8.809835080000000137e-94,8.806165029999999757e-94,-3.523774449999999769e-97,2.635161970000000028e-94,1.081463170000000048e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.207067350000000022e-04,9.999999979999999707e-10,2.717771320000000250e-04,3.296368200000000111e-10,7.888883259999999343e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.370167739999999926e-03,0.000000000000000000e+00,-7.134143450000000257e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195885749999999901e-94,3.296023830000000164e-10,2.717772430000000151e-04,9.999999979999999707e-10,9.999999250000000384e-10,-1.378839810000000008e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.737614890000000000e-12,-1.012071049999999954e-92,8.809835080000000137e-94,9.585519190000000475e-105
2.510167739999999859e-03,-1.012026399999999976e-92,8.598304539999999559e-94,8.594722609999999591e-94,-3.439166070000000050e-97,2.571889819999999876e-94,1.055496450000000027e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.661158420000000155e-04,9.999999979999999707e-10,2.717333300000000047e-04,3.329939019999999957e-10,7.885420639999999620e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.520167739999999885e-03,0.000000000000000000e+00,-6.962847480000000612e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.143160940000000009e-94,3.329593240000000037e-10,2.717334149999999903e-04,9.999999979999999707e-10,9.999999720000000203e-10,-1.378782559999999924e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.769007610000000046e-12,-1.012029030000000021e-92,8.598304539999999559e-94,9.353886180000000350e-105
2.660167739999999819e-03,-1.011984389999999946e-92,8.391852999999999704e-94,8.388357080000000002e-94,-3.356589200000000097e-97,2.510136870000000253e-94,1.030153209999999998e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.178857929999999768e-04,9.999999979999999707e-10,2.716882300000000210e-04,3.362447530000000169e-10,7.881883310000000714e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.670167739999999845e-03,0.000000000000000000e+00,-6.795664459999999956e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.091702090000000017e-94,3.362100399999999922e-10,2.716882850000000181e-04,9.999999979999999707e-10,9.999999890000000753e-10,-1.378725319999999913e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.797210129999999866e-12,-1.011987009999999917e-92,8.391852999999999704e-94,9.132472260000000556e-105
2.810167740000000212e-03,-1.011942370000000013e-92,8.190358519999999910e-94,8.186946530000000332e-94,-3.275995049999999915e-97,2.449866659999999746e-94,1.005418490000000036e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.752745090000000113e-04,9.999999979999999707e-10,2.716417069999999771e-04,3.393924150000000083e-10,7.878261139999999362e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.820167739999999805e-03,0.000000000000000000e+00,-6.632495619999999717e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.041478799999999956e-94,3.393575699999999850e-10,2.716417309999999896e-04,9.999999979999999707e-10,9.999999949999999366e-10,-1.378668079999999902e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.824130940000000061e-12,-1.011945000000000057e-92,8.190358519999999910e-94,8.911058349999999685e-105
2.960167740000000172e-03,-1.011900359999999982e-92,7.993702059999999494e-94,7.990372000000000274e-94,-3.197336030000000252e-97,2.391043589999999900e-94,9.812776579999999623e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.376264020000000160e-04,9.999999979999999707e-10,2.715936310000000129e-04,3.424398220000000222e-10,7.874544360000000263e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.970167740000000198e-03,0.000000000000000000e+00,-6.473244579999999865e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.992461410000000122e-94,3.424048510000000166e-10,2.715936200000000026e-04,9.999999979999999707e-10,9.999999970000000282e-10,-1.378610840000000104e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.850127499999999863e-12,-1.011902990000000027e-92,7.993702059999999494e-94,8.713489019999999767e-105
3.110167740000000132e-03,-1.011858349999999952e-92,7.801767470000000237e-94,7.798517359999999838e-94,-3.120565679999999930e-97,2.333632889999999882e-94,9.577164679999999673e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.043622949999999841e-04,9.999999979999999707e-10,2.715438660000000213e-04,3.453898039999999990e-10,7.870724060000000213e-12,1.200000000000000000e+01,0.000000000000000000e+00,3.120167740000000158e-03,0.000000000000000000e+00,-6.317817279999999369e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.944620970000000005e-94,3.453547119999999817e-10,2.715438179999999963e-04,9.999999979999999707e-10,9.999999979999999707e-10,-1.378553609999999953e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.875282680000000015e-12,-1.011860979999999996e-92,7.801767470000000237e-94,8.471636899999999917e-105
