time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,2.582860290000000045e-92,-3.301267530000000013e-93,-3.300778680000000008e-93,-7.241246289999999885e-95,-9.894006510000000079e-94,-4.053589109999999908e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.036173810000000067e-54,9.999999979999999707e-10,4.948501690000000229e-42,6.034805499999999727e-46,2.988314709999999735e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,4.517054079999999908e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.231366210000000467e-94,-6.837770350000000357e-45,4.963131840000000317e-42,9.999999979999999707e-10,6.696700160000000345e-11,3.518579309999999998e-93,0.000000000000000000e+00,-2.582860290000000158e-96,-6.987180339999999551e-45,2.430836289999999884e-92,-3.301268400000000008e-93,1.856579489999999948e-100
1.365600000000000071e-04,2.576001370000000002e-92,-3.295373080000000107e-93,-3.295160100000000180e-93,4.551375850000000017e-104,-9.876340660000000131e-94,-4.046689070000000019e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.663584120000000347e-55,9.999999979999999707e-10,4.548170760000000200e-42,-2.509707250000000142e-45,-2.626705500000000042e-51,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,4.086442610000000258e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.217354810000000376e-94,-2.509706110000000114e-45,4.539019559999999976e-42,9.999999979999999707e-10,6.379365840000000148e-10,3.509235539999999853e-93,0.000000000000000000e+00,-2.576001369999999841e-96,-1.476423639999999984e-45,2.355060059999999894e-92,-3.295373080000000107e-93,-1.002834700000000020e-104
2.865599999999999940e-04,2.568431419999999993e-92,-3.289248730000000076e-93,-3.289036140000000029e-93,4.538846810000000172e-104,-9.857985769999999962e-94,-4.039168420000000244e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.946117959999999693e-55,9.999999979999999707e-10,4.116168470000000220e-42,-2.508883279999999881e-45,-9.431021629999999467e-52,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,4.078848039999999964e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.202083099999999514e-94,-2.508882079999999949e-45,4.107021010000000259e-42,9.999999979999999707e-10,8.719998320000000454e-10,3.498923149999999874e-93,0.000000000000000000e+00,-2.568431419999999853e-96,-2.816583489999999973e-46,2.348139369999999996e-92,-3.289248730000000076e-93,-1.000109609999999963e-104
4.365600000000000079e-04,2.560883719999999849e-92,-3.283135749999999985e-93,-3.282923569999999965e-93,4.527323699999999722e-104,-9.839664990000000468e-94,-4.031661739999999894e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.357184049999999815e-56,9.999999979999999707e-10,3.684419000000000167e-42,-2.508038919999999894e-45,-3.360944809999999989e-52,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,4.071267619999999859e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.186839760000000444e-94,-2.508037709999999927e-45,3.675275270000000048e-42,9.999999979999999707e-10,9.547481390000000813e-10,3.488641059999999875e-93,0.000000000000000000e+00,-2.560883719999999899e-96,-6.778573129999999966e-47,2.341239029999999993e-92,-3.283135749999999985e-93,-9.946594189999999499e-105
5.865599999999999677e-04,2.553358199999999907e-92,-3.277034139999999835e-93,-3.276822350000000121e-93,4.515816570000000268e-104,-9.821378259999999506e-94,-4.024169019999999854e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.463159800000000068e-55,9.999999979999999707e-10,3.252922179999999883e-42,-2.507191140000000134e-45,-1.174192639999999962e-52,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,4.063701289999999956e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.171624759999999964e-94,-2.507189929999999856e-45,3.243782190000000028e-42,9.999999979999999707e-10,9.840021230000000829e-10,3.478389190000000121e-93,0.000000000000000000e+00,-2.553358200000000117e-96,-2.949598480000000113e-47,2.334358959999999979e-92,-3.277034139999999835e-93,-1.000109609999999963e-104
7.365600000000000359e-04,2.545854790000000166e-92,-3.270943869999999833e-93,-3.270732469999999998e-93,4.504357329999999890e-104,-9.803125509999999541e-94,-4.016690219999999937e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.154156639999999332e-55,9.999999979999999707e-10,2.821677879999999943e-42,-2.506342989999999987e-45,-3.881798930000000196e-53,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,4.056149020000000264e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.156438029999999477e-94,-2.506341769999999984e-45,2.812541619999999930e-42,9.999999979999999707e-10,9.943442740000000773e-10,3.468167449999999952e-93,0.000000000000000000e+00,-2.545854789999999815e-96,-2.263612549999999770e-47,2.327499110000000098e-92,-3.270943869999999833e-93,-9.919343239999999670e-105
8.865599999999999956e-04,2.538373429999999845e-92,-3.264864919999999830e-93,-3.264653909999999875e-93,4.492914059999999727e-104,-9.784906690000000209e-94,-4.009225310000000135e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.083557279999999996e-54,9.999999979999999707e-10,2.390685950000000077e-42,-2.505494990000000064e-45,-1.074241590000000081e-53,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,4.048610780000000140e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.141279530000000393e-94,-2.505493780000000097e-45,2.381553419999999905e-42,9.999999979999999707e-10,9.980005320000000403e-10,3.457975739999999911e-93,0.000000000000000000e+00,-2.538373429999999942e-96,-2.140231660000000024e-47,2.320659419999999911e-92,-3.264864919999999830e-93,-9.892092300000000313e-105
1.031000000000000015e-03,2.531190159999999927e-92,-3.259021969999999987e-93,-3.258811339999999839e-93,4.159962889999999718e-104,-9.767395180000000128e-94,-4.002050220000000009e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.150983370000000097e-12,1.804971270000000059e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,4.041365210000000312e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.126709530000000286e-94,1.105706569999999939e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,3.448190109999999956e-93,0.000000000000000000e+00,-2.531190160000000057e-96,4.602784409999999620e-16,2.314092259999999999e-92,-3.259021969999999987e-93,-9.810339470000000222e-105
1.180999999999999975e-03,2.523751899999999966e-92,-3.252965169999999797e-93,-3.252754929999999954e-93,4.470543809999999753e-104,-9.749242760000000292e-94,-3.994612529999999950e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.306731829999999710e-11,3.143563000000000103e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,4.033854449999999900e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.111606279999999816e-94,5.298619610000000072e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,3.438057110000000063e-93,0.000000000000000000e+00,-2.523751900000000111e-96,2.339506759999999820e-13,2.307291969999999943e-92,-3.252965169999999797e-93,-9.919343239999999670e-105
1.330999999999999935e-03,2.516335490000000002e-92,-3.246919630000000018e-93,-3.246709780000000056e-93,4.459196339999999928e-104,-9.731124069999999621e-94,-3.987188659999999812e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038483719999999992e-10,3.122014970000000226e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,4.026357650000000158e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.096531090000000354e-94,1.037655290000000047e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,3.427953890000000169e-93,0.000000000000000000e+00,-2.516335490000000160e-96,6.304570839999999661e-13,2.300511659999999964e-92,-3.246919630000000018e-93,-9.892092300000000313e-105
