time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,2.582853519999999950e-92,-3.301258670000000173e-93,-3.300769820000000168e-93,-7.241227159999999497e-95,-9.893979959999999076e-94,-4.053578230000000155e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.962494690000000004e-54,9.999999979999999707e-10,4.937456090000000089e-42,6.573550139999999706e-46,2.994014289999999859e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,4.517041939999999873e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.231344119999999817e-94,-6.797672340000000005e-45,4.952238550000000058e-42,9.999999979999999707e-10,6.696700160000000345e-11,3.518570079999999999e-93,0.000000000000000000e+00,-2.582853519999999837e-96,-6.971925139999999394e-45,2.430829910000000096e-92,-3.301259540000000168e-93,1.856572950000000060e-100
2.125600000000000113e-04,2.572156399999999962e-92,-3.292259819999999879e-93,-3.292047040000000142e-93,4.544541830000000131e-104,-9.867010100000000649e-94,-4.042866009999999734e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.771785859999999645e-55,9.999999979999999707e-10,4.319230909999999943e-42,-2.360654659999999912e-45,-4.176404170000000072e-51,0.000000000000000000e+00,0.000000000000000000e+00,2.225600000000000104e-04,0.000000000000000000e+00,4.082581960000000054e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.209591559999999933e-94,-2.360653539999999956e-45,4.310101730000000163e-42,9.999999979999999707e-10,7.862101429999999517e-10,3.503997610000000085e-93,0.000000000000000000e+00,-2.572156400000000097e-96,-6.273702740000000117e-46,2.351544859999999970e-92,-3.292259819999999879e-93,-1.000109609999999963e-104
4.385600000000000023e-04,2.560776520000000085e-92,-3.283045519999999850e-93,-3.282833330000000182e-93,4.527153379999999940e-104,-9.839394540000000972e-94,-4.031550929999999753e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.902021650000000087e-56,9.999999979999999707e-10,3.670068040000000301e-42,-2.359463290000000120e-45,-8.935596789999999429e-52,0.000000000000000000e+00,0.000000000000000000e+00,4.485599999999999744e-04,0.000000000000000000e+00,4.071155720000000197e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.186614739999999706e-94,-2.359462150000000092e-45,3.660944479999999744e-42,9.999999979999999707e-10,9.553711749999999406e-10,3.488495019999999999e-93,0.000000000000000000e+00,-2.560776520000000030e-96,-6.538358210000000041e-47,2.341141020000000020e-92,-3.283045510000000203e-93,-9.973845130000000405e-105
6.645600000000000205e-04,2.549446979999999853e-92,-3.273856999999999860e-93,-3.273645409999999909e-93,4.509839449999999812e-104,-9.811856260000000544e-94,-4.020267520000000221e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.367773660000000169e-55,9.999999979999999707e-10,3.021477469999999735e-42,-2.358261490000000091e-45,-1.877033609999999858e-52,0.000000000000000000e+00,0.000000000000000000e+00,6.745600000000000467e-04,0.000000000000000000e+00,4.059761460000000242e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.163702230000000252e-94,-2.358260350000000064e-45,3.012359519999999892e-42,9.999999979999999707e-10,9.906836909999999765e-10,3.473061020000000145e-93,0.000000000000000000e+00,-2.549446980000000114e-96,-2.329803899999999885e-47,2.330783209999999951e-92,-3.273856999999999860e-93,-1.000109609999999963e-104
8.905599999999999844e-04,2.538167569999999939e-92,-3.264694199999999893e-93,-3.264483210000000085e-93,4.492600039999999747e-104,-9.784395060000000029e-94,-4.009015679999999870e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.090514830000000041e-54,9.999999979999999707e-10,2.373458690000000005e-42,-2.357059479999999935e-45,-3.633502870000000114e-53,0.000000000000000000e+00,0.000000000000000000e+00,9.005600000000000107e-04,0.000000000000000000e+00,4.048399090000000210e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.140853839999999751e-94,-2.357058339999999907e-45,2.364346340000000136e-42,9.999999979999999707e-10,9.980552110000000747e-10,3.457695310000000024e-93,0.000000000000000000e+00,-2.538167569999999932e-96,-2.013769789999999967e-47,2.320471220000000096e-92,-3.264694199999999893e-93,-9.919343239999999670e-105
1.111000000000000008e-03,2.527213739999999895e-92,-3.255781539999999907e-93,-3.255571109999999949e-93,4.475844970000000064e-104,-9.757683499999999268e-94,-3.998071000000000133e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.705161899999999795e-05,9.999999979999999707e-10,2.503002609999999860e-05,2.855295329999999971e-11,3.181289050000000247e-11,1.332000000000000073e+00,0.000000000000000000e+00,1.121000000000000035e-03,0.000000000000000000e+00,4.037346890000000267e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.118629179999999879e-94,2.847197710000000036e-11,2.601933269999999883e-05,9.999999979999999707e-10,9.995780679999999711e-10,3.442773109999999894e-93,0.000000000000000000e+00,-2.527213739999999795e-96,8.327754609999999645e-14,2.310456890000000046e-92,-3.255781529999999834e-93,-9.919343239999999670e-105
1.337000000000000081e-03,2.516032689999999967e-92,-3.246669330000000142e-93,-3.246459499999999900e-93,4.458738610000000207e-104,-9.730373909999999033e-94,-3.986881290000000214e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.704247860000000151e-04,9.999999979999999707e-10,9.203708110000000651e-05,1.058506130000000000e-10,3.122758689999999803e-11,4.043999999999999595e+00,0.000000000000000000e+00,1.347000000000000107e-03,0.000000000000000000e+00,4.026047259999999906e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.095906939999999625e-94,1.057676630000000018e-10,9.294571759999999626e-05,9.999999979999999707e-10,9.999119199999999850e-10,3.427541389999999831e-93,0.000000000000000000e+00,-2.516032689999999932e-96,6.469853530000000001e-13,2.300234830000000169e-92,-3.246669330000000142e-93,-9.892092300000000313e-105
1.562999999999999936e-03,2.504901109999999944e-92,-3.237582620000000064e-93,-3.237373379999999892e-93,4.441696129999999967e-104,-9.703140759999999977e-94,-3.975722899999999772e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.351321869999999785e-04,9.999999979999999707e-10,1.550407699999999925e-04,1.800031040000000070e-10,3.186464190000000132e-11,6.756000000000000227e+00,0.000000000000000000e+00,1.572999999999999962e-03,0.000000000000000000e+00,4.014779250000000184e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.073248299999999620e-94,1.799152570000000061e-10,1.559114760000000007e-04,9.999999979999999707e-10,9.999816119999999165e-10,3.412377070000000212e-93,0.000000000000000000e+00,-2.504901109999999862e-96,1.268774340000000057e-12,2.290058000000000096e-92,-3.237582620000000064e-93,-9.892092300000000313e-105
1.789000000000000009e-03,2.493818790000000160e-92,-3.228521350000000086e-93,-3.228312689999999911e-93,4.424717510000000256e-104,-9.675983829999999208e-94,-3.964595739999999851e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.750421880000000088e-04,9.999999979999999707e-10,2.159740069999999883e-04,2.530636679999999748e-10,3.293071240000000052e-11,9.467999999999999972e+00,0.000000000000000000e+00,1.799000000000000035e-03,0.000000000000000000e+00,4.003542780000000039e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.050653079999999821e-94,2.529698979999999862e-10,2.168224709999999936e-04,9.999999979999999707e-10,9.999961599999999135e-10,3.397279829999999967e-93,0.000000000000000000e+00,-2.493818790000000000e-96,1.882732620000000054e-12,2.279926190000000161e-92,-3.228521350000000086e-93,-9.837590409999999579e-105
2.000377460000000128e-03,2.483497879999999940e-92,-3.220069309999999979e-93,-3.219861200000000006e-93,4.084077069999999830e-104,-9.650652790000000179e-94,-3.954216700000000033e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.827036110000000513e-04,9.999999979999999707e-10,2.717480050000000216e-04,3.210440459999999805e-10,2.445521379999999852e-11,1.200000000000000000e+01,0.000000000000000000e+00,2.010377460000000154e-03,0.000000000000000000e+00,3.993061790000000276e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.029577039999999660e-94,3.209685800000000116e-10,2.722592420000000189e-04,9.999999979999999707e-10,9.999991109999999691e-10,3.383219869999999875e-93,0.000000000000000000e+00,-2.483497879999999881e-96,2.452720069999999873e-12,2.270490500000000003e-92,-3.220069309999999979e-93,-9.701335700000000773e-105
2.220167739999999966e-03,2.472811500000000040e-92,-3.211304340000000050e-93,-3.211096789999999926e-93,4.392522019999999747e-104,-9.624383889999999135e-94,-3.943453399999999862e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.781365589999999709e-04,9.999999979999999707e-10,2.718169420000000045e-04,3.264196530000000216e-10,7.892423370000000500e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.230167739999999992e-03,0.000000000000000000e+00,3.982192739999999947e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.007720679999999531e-94,3.263853500000000138e-10,2.718170760000000112e-04,9.999999979999999707e-10,9.999998049999999174e-10,3.368662019999999896e-93,0.000000000000000000e+00,-2.472811500000000089e-96,2.696548110000000056e-12,2.260720680000000110e-92,-3.211304340000000050e-93,-9.755837589999999959e-105
