time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-2.480613589999999914e-92,3.175703450000000106e-93,3.175513920000000159e-93,9.652324330000000342e-96,9.517686860000000058e-94,3.899755210000000050e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970704900000000097e-54,9.999999979999999707e-10,4.942788409999999913e-42,2.243735589999999901e-45,2.996190369999999820e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-4.341854149999999924e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.952329240000000304e-94,-5.227297999999999783e-45,4.957584469999999681e-42,9.999999979999999707e-10,6.696700160000000345e-11,-3.396556209999999883e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.135861740000000399e-45,-2.480627140000000006e-92,3.175703810000000192e-93,-7.818622549999999902e-101
2.125600000000000113e-04,-2.480278550000000146e-92,3.166903029999999892e-93,3.166733529999999962e-93,-1.266703099999999977e-96,9.491311719999999606e-94,3.888972240000000161e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.762188809999999845e-55,9.999999979999999707e-10,4.323869479999999848e-42,3.357204240000000118e-45,-1.347703889999999932e-48,0.000000000000000000e+00,0.000000000000000000e+00,2.225600000000000104e-04,0.000000000000000000e+00,-4.125772659999999957e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.930340800000000290e-94,3.357058289999999868e-45,4.314730289999999944e-42,9.999999979999999707e-10,7.862101429999999517e-10,-3.396097450000000020e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.014425979999999948e-45,-2.480292890000000071e-92,3.166903029999999892e-93,9.592331929999999776e-105
4.385600000000000023e-04,-2.479933369999999921e-92,3.157592009999999814e-93,3.157423010000000145e-93,-1.262978859999999932e-96,9.463406300000000066e-94,3.877538259999999886e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.759199109999999966e-56,9.999999979999999707e-10,3.673994640000000087e-42,3.057756620000000305e-45,-1.224008200000000012e-48,0.000000000000000000e+00,0.000000000000000000e+00,4.485599999999999744e-04,0.000000000000000000e+00,-4.113642460000000208e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.907024779999999801e-94,3.057623739999999767e-45,3.664861070000000043e-42,9.999999979999999707e-10,9.553711749999999406e-10,-3.395624829999999837e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.075414579999999999e-46,-2.479947709999999846e-92,3.157592009999999814e-93,9.619582870000000681e-105
6.645600000000000205e-04,-2.479588239999999893e-92,3.148308370000000013e-93,3.148139860000000107e-93,-1.259265570000000042e-96,9.435582909999999489e-94,3.866137899999999991e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.388268280000000049e-55,9.999999979999999707e-10,3.024692720000000049e-42,2.785054160000000010e-45,-1.114096290000000006e-48,0.000000000000000000e+00,0.000000000000000000e+00,6.745600000000000467e-04,0.000000000000000000e+00,-4.101547930000000100e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.883777320000000387e-94,2.784933130000000113e-45,3.015564760000000082e-42,9.999999979999999707e-10,9.906836909999999765e-10,-3.395152260000000020e-93,0.000000000000000000e+00,0.000000000000000000e+00,7.257599999999999410e-48,-2.479602590000000061e-92,3.148308370000000013e-93,9.592331929999999776e-105
8.905599999999999844e-04,-2.479243160000000061e-92,3.139052019999999831e-93,3.138884010000000185e-93,-1.255563199999999951e-96,9.407841330000000305e-94,3.854771059999999744e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.093148820000000059e-54,9.999999979999999707e-10,2.375963209999999901e-42,2.536676960000000059e-45,-1.014577419999999947e-48,0.000000000000000000e+00,0.000000000000000000e+00,9.005600000000000107e-04,0.000000000000000000e+00,-4.089488959999999875e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.860598209999999870e-94,2.536566720000000128e-45,2.366840870000000114e-42,9.999999979999999707e-10,9.980552110000000747e-10,-3.394679769999999939e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.005475820000000066e-47,-2.479257499999999986e-92,3.139052019999999831e-93,9.537830040000000590e-105
1.111000000000000008e-03,-2.478906619999999850e-92,3.130049609999999824e-93,3.129882079999999867e-93,-1.251962410000000042e-96,9.380860830000000053e-94,3.843716060000000159e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.705161899999999795e-05,9.999999979999999707e-10,2.503002609999999860e-05,5.649196789999999885e-11,3.180163790000000140e-11,1.332000000000000073e+00,0.000000000000000000e+00,1.121000000000000035e-03,0.000000000000000000e+00,-4.077760820000000269e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.838055000000000042e-94,5.640968939999999736e-11,2.601933269999999883e-05,9.999999979999999707e-10,9.995780679999999711e-10,-3.394218959999999943e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.384179789999999964e-13,-2.478920960000000116e-92,3.130049609999999824e-93,9.428826269999999592e-105
1.337000000000000081e-03,-2.478561640000000071e-92,3.120846950000000013e-93,3.120679909999999818e-93,-1.248281510000000074e-96,9.353280139999999812e-94,3.832415139999999826e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.704247860000000151e-04,9.999999979999999707e-10,9.203708110000000651e-05,2.048915050000000121e-10,3.118789049999999817e-11,4.043999999999999595e+00,0.000000000000000000e+00,1.347000000000000107e-03,0.000000000000000000e+00,-4.065771789999999886e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.815010319999999616e-94,2.048041680000000083e-10,9.294571759999999626e-05,9.999999979999999707e-10,9.999119199999999850e-10,-3.393746589999999890e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.155573030000000065e-12,-2.478575970000000092e-92,3.120846950000000013e-93,9.537830040000000590e-105
1.562999999999999936e-03,-2.478216699999999903e-92,3.111671340000000189e-93,3.111504790000000181e-93,-1.244611430000000102e-96,9.325780530000000081e-94,3.821147449999999781e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.351321869999999785e-04,9.999999979999999707e-10,1.550407699999999925e-04,3.408305250000000130e-10,3.180023520000000270e-11,6.756000000000000227e+00,0.000000000000000000e+00,1.572999999999999962e-03,0.000000000000000000e+00,-4.053817999999999682e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.792033390000000072e-94,3.407356080000000020e-10,1.559114760000000007e-04,9.999999979999999707e-10,9.999816119999999165e-10,-3.393274289999999925e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.304406919999999871e-12,-2.478231040000000168e-92,3.111671340000000189e-93,9.483328160000000327e-105
1.789000000000000009e-03,-2.477871809999999931e-92,3.102522709999999837e-93,3.102356650000000017e-93,-1.240952149999999959e-96,9.298361789999999745e-94,3.809912880000000174e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.750421880000000088e-04,9.999999979999999707e-10,2.159740069999999883e-04,4.691344870000000243e-10,3.284421320000000211e-11,9.467999999999999972e+00,0.000000000000000000e+00,1.799000000000000035e-03,0.000000000000000000e+00,-4.041899359999999679e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.769124009999999944e-94,4.690312470000000362e-10,2.168224709999999936e-04,9.999999979999999707e-10,9.999961599999999135e-10,-3.392802060000000047e-93,0.000000000000000000e+00,0.000000000000000000e+00,3.404739259999999947e-12,-2.477886149999999856e-92,3.102522709999999837e-93,9.510579099999999684e-105
2.000377460000000128e-03,-2.477549280000000121e-92,3.093990349999999898e-93,3.093824750000000046e-93,-1.237539360000000068e-96,9.272790029999999787e-94,3.799435110000000253e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.827036099999999469e-04,9.999999979999999707e-10,2.717480050000000216e-04,5.840049209999999904e-10,2.446587139999999862e-11,1.200000000000000000e+01,0.000000000000000000e+00,2.010377460000000154e-03,0.000000000000000000e+00,-4.030783589999999838e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.747757869999999863e-94,5.839176830000000243e-10,2.722592420000000189e-04,9.999999979999999707e-10,9.999991109999999691e-10,-3.392360439999999868e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.387313260000000158e-12,-2.477563610000000142e-92,3.093990349999999898e-93,9.047313070000000512e-105
