time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-1.032356539999999969e-92,1.304626530000000077e-93,1.291142489999999940e-93,4.038560979999999671e-96,3.896615799999999944e-94,1.585649100000000091e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.961459709999999902e-54,9.999999979999999707e-10,4.937982140000000063e-42,2.216401569999999979e-45,2.994832410000000090e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-1.359567899999999944e-96,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.206294390000000163e-94,-5.251286540000000057e-45,4.952765950000000228e-42,9.999999979999999707e-10,6.696700160000000345e-11,-1.399451740000000027e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.235146239999999500e-45,-1.032362120000000021e-92,1.304626689999999973e-93,-3.282038170000000072e-101
1.365600000000000071e-04,-1.032265839999999963e-92,1.109151610000000047e-93,1.099910990000000063e-93,-4.436443380000000001e-97,3.312777710000000133e-94,1.350807119999999937e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.646446009999999597e-55,9.999999979999999707e-10,4.538154049999999741e-42,3.419375459999999855e-45,-1.375938370000000117e-48,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,-1.300921790000000047e-96,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.731409159999999984e-94,3.419226850000000060e-45,4.529021930000000285e-42,9.999999979999999707e-10,6.379365840000000148e-10,-1.399328799999999905e-93,0.000000000000000000e+00,0.000000000000000000e+00,-2.439179889999999825e-46,-1.032271790000000004e-92,1.109151610000000047e-93,4.699629499999999825e-103
2.865599999999999940e-04,-1.032170970000000028e-92,9.288643420000000485e-94,9.211257419999999786e-94,-3.715320830000000232e-97,2.774301599999999803e-94,1.131239910000000042e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.935704650000000076e-55,9.999999979999999707e-10,4.107052770000000278e-42,3.213815540000000167e-45,-1.288367749999999996e-48,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,-1.089463190000000099e-96,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.287431720000000070e-94,3.213675890000000022e-45,4.097924380000000027e-42,9.999999979999999707e-10,8.719998320000000454e-10,-1.399200189999999924e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.878844009999999989e-47,-1.032176909999999996e-92,9.288643400000000126e-94,3.935989949999999754e-103
4.365600000000000079e-04,-1.032076109999999997e-92,7.778819030000000384e-94,7.714011750000000165e-94,-3.111413280000000089e-97,2.323352190000000073e-94,9.473622920000000311e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.330439230000000171e-56,9.999999979999999707e-10,3.676203770000000282e-42,3.020618160000000143e-45,-1.209166950000000073e-48,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,-9.123761810000000251e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.915620680000000077e-94,3.020486899999999792e-45,3.667079109999999872e-42,9.999999979999999707e-10,9.547481390000000813e-10,-1.399071590000000015e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.546490119999999968e-47,-1.032082049999999964e-92,7.778819019999999672e-94,3.295933430000000036e-103
5.865599999999999677e-04,-1.031981249999999965e-92,6.514409349999999738e-94,6.460136180000000088e-94,-2.605668009999999850e-97,1.945702449999999954e-94,7.933731010000000268e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.458459440000000140e-55,9.999999979999999707e-10,3.245606899999999800e-42,2.839034999999999716e-45,-1.135846809999999983e-48,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,-7.640738140000000513e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.604245730000000102e-94,2.838911629999999860e-45,3.236485969999999870e-42,9.999999979999999707e-10,9.840021230000000829e-10,-1.398942999999999967e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.417697429999999798e-47,-1.031987189999999933e-92,6.514409340000000091e-94,2.760248009999999922e-103
7.365600000000000359e-04,-1.031886400000000007e-92,5.455523389999999679e-94,5.410072060000000023e-94,-2.182129200000000054e-97,1.629437859999999924e-94,6.644141119999999623e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.140722830000000570e-55,9.999999979999999707e-10,2.815262030000000044e-42,2.668367670000000151e-45,-1.067338089999999955e-48,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,-6.398772839999999724e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.343483290000000036e-94,2.668251720000000045e-45,2.806144819999999853e-42,9.999999979999999707e-10,9.943442740000000773e-10,-1.398814430000000066e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.273114360000000129e-47,-1.031892339999999974e-92,5.455523380000000031e-94,2.311527170000000114e-103
8.865599999999999956e-04,-1.031791570000000025e-92,4.568754260000000244e-94,4.530690830000000141e-94,-1.827434600000000065e-97,1.364580560000000022e-94,5.564167889999999876e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.081445809999999977e-54,9.999999979999999707e-10,2.385169000000000005e-42,2.507959949999999976e-45,-1.003093419999999935e-48,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,-5.358683040000000314e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125106530000000015e-94,2.507850960000000155e-45,2.376055509999999871e-42,9.999999979999999707e-10,9.980005320000000403e-10,-1.398685870000000025e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.136490620000000100e-47,-1.031797499999999919e-92,4.568754250000000064e-94,1.935770729999999952e-103
1.031000000000000015e-03,-1.031700250000000070e-92,3.851365930000000026e-94,3.819279239999999846e-94,-1.540486579999999900e-97,1.150313360000000013e-94,4.690479159999999708e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,2.252398930000000003e-12,1.805025869999999912e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,-4.517259629999999752e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.484416830000000234e-95,2.207020349999999819e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,-1.398562080000000056e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.757807309999999952e-15,-1.031706190000000038e-92,3.851365930000000026e-94,1.212666959999999979e-105
1.180999999999999975e-03,-1.031605429999999992e-92,3.225344889999999988e-94,3.198473740000000239e-94,-1.290090609999999966e-97,9.633354499999999709e-95,3.928064299999999909e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,1.043226609999999995e-10,3.141668769999999736e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,-3.783000790000000217e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.942770409999999932e-95,1.042392210000000028e-10,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,-1.398433539999999949e-93,0.000000000000000000e+00,0.000000000000000000e+00,6.325460219999999874e-13,-1.031611369999999959e-92,3.225344889999999988e-94,1.366600729999999953e-103
1.330999999999999935e-03,-1.031510619999999986e-92,2.701080569999999942e-94,2.678577189999999845e-94,-1.080392590000000039e-97,8.067498980000000208e-95,3.289576300000000246e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,2.011460649999999949e-10,3.118275799999999834e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,-3.168092179999999764e-97,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.651711219999999647e-95,2.010589079999999916e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,-1.398305019999999988e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.452114700000000047e-12,-1.031516550000000050e-92,2.701080559999999762e-94,1.144488510000000007e-103
