time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVservice,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,2.582859510000000114e-92,-3.301266600000000005e-93,-3.300777750000000000e-93,-7.241244160000000442e-95,-9.894003730000000126e-94,-4.053587970000000169e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.311212219999999914e-54,9.999999979999999707e-10,1.772317259999999890e-41,-3.311212220000000037e-42,4.158074420000000049e-41,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,4.517052829999999784e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.231363899999999916e-94,0.000000000000000000e+00,1.798404209999999894e-41,9.999999979999999707e-10,6.696700160000000345e-11,3.518578239999999814e-93,0.000000000000000000e+00,-2.582859510000000038e-96,0.000000000000000000e+00,2.430835549999999906e-92,-3.301267480000000072e-93,1.856581669999999995e-100
1.365600000000000071e-04,2.576000590000000072e-92,-3.295372160000000172e-93,-3.295159179999999819e-93,4.551370529999999793e-104,-9.876337880000000178e-94,-4.046687939999999927e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.446437810000000118e-54,9.999999979999999707e-10,1.627856899999999992e-41,-3.446437810000000071e-42,-7.439164769999999620e-50,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,4.086441459999999676e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.217352499999999826e-94,0.000000000000000000e+00,1.624559299999999979e-41,9.999999979999999707e-10,6.379365840000000148e-10,3.509234470000000095e-93,0.000000000000000000e+00,-2.576000590000000138e-96,0.000000000000000000e+00,2.355059340000000063e-92,-3.295372160000000172e-93,-1.008284889999999985e-104
2.865599999999999940e-04,2.568430649999999966e-92,-3.289247800000000067e-93,-3.289035220000000093e-93,4.538857450000000000e-104,-9.857982999999999657e-94,-4.039167290000000152e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.446409090000000092e-54,9.999999979999999707e-10,1.472188740000000037e-41,-3.446409090000000120e-42,-2.681310010000000124e-50,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,4.078846900000000246e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.202080790000000028e-94,0.000000000000000000e+00,1.468892500000000004e-41,9.999999979999999707e-10,8.719998320000000454e-10,3.498922090000000189e-93,0.000000000000000000e+00,-2.568430650000000130e-96,0.000000000000000000e+00,2.348138660000000069e-92,-3.289247800000000067e-93,-1.002834700000000020e-104
4.365600000000000079e-04,2.560882950000000162e-92,-3.283134830000000050e-93,-3.282922639999999956e-93,4.527318380000000118e-104,-9.839662220000000163e-94,-4.031660609999999803e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.446380359999999990e-54,9.999999979999999707e-10,1.316611679999999935e-41,-3.446380359999999747e-42,-9.652126379999999637e-51,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,4.071266480000000140e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.186837459999999541e-94,0.000000000000000000e+00,1.313316780000000058e-41,9.999999979999999707e-10,9.547481390000000813e-10,3.488640000000000191e-93,0.000000000000000000e+00,-2.560882950000000176e-96,0.000000000000000000e+00,2.341238320000000065e-92,-3.283134830000000050e-93,-1.000109609999999963e-104
5.865599999999999677e-04,2.553357419999999977e-92,-3.277033219999999900e-93,-3.276821430000000185e-93,4.515816570000000268e-104,-9.821375500000000977e-94,-4.024167889999999762e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.446351639999999964e-54,9.999999979999999707e-10,1.161125669999999998e-41,-3.446351639999999795e-42,-3.463020200000000072e-51,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,4.063700150000000238e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.171622469999999773e-94,0.000000000000000000e+00,1.157832110000000023e-41,9.999999979999999707e-10,9.840021230000000829e-10,3.478388140000000084e-93,0.000000000000000000e+00,-2.553357419999999998e-96,0.000000000000000000e+00,2.334358250000000051e-92,-3.277033219999999900e-93,-1.000109609999999963e-104
7.365600000000000359e-04,2.545854020000000139e-92,-3.270942949999999897e-93,-3.270731550000000063e-93,4.504352010000000286e-104,-9.803122760000000661e-94,-4.016689089999999845e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.446322909999999862e-54,9.999999979999999707e-10,1.005730639999999953e-41,-3.446322910000000060e-42,-1.231556290000000044e-51,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,4.056147879999999896e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.156435740000000351e-94,0.000000000000000000e+00,1.002438430000000047e-41,9.999999979999999707e-10,9.943442740000000773e-10,3.468166399999999915e-93,0.000000000000000000e+00,-2.545854020000000092e-96,0.000000000000000000e+00,2.327498410000000073e-92,-3.270942949999999897e-93,-9.973845130000000405e-105
8.865599999999999956e-04,2.538372660000000158e-92,-3.264863999999999895e-93,-3.264652989999999940e-93,4.492914059999999727e-104,-9.784903939999999199e-94,-4.009224190000000223e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.446294179999999760e-54,9.999999979999999707e-10,8.504265599999999376e-42,-3.446294179999999687e-42,-4.276461870000000273e-52,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,4.048609649999999986e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.141277240000000202e-94,0.000000000000000000e+00,8.471356929999999949e-42,9.999999979999999707e-10,9.980005320000000403e-10,3.457974689999999874e-93,0.000000000000000000e+00,-2.538372659999999803e-96,0.000000000000000000e+00,2.320658719999999886e-92,-3.264863999999999895e-93,-9.919343239999999670e-105
1.015469460000000077e-03,2.531960780000000109e-92,-3.259648799999999935e-93,-3.259438129999999919e-93,4.483104790000000025e-104,-9.769273809999999529e-94,-4.002819969999999941e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.223803940000000090e-01,9.999999979999999707e-10,1.721575349999999978e-19,1.398277990000000040e-14,-5.914423309999999813e-18,0.000000000000000000e+00,0.000000000000000000e+00,1.025469460000000103e-03,0.000000000000000000e+00,4.042142510000000072e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.128272599999999735e-94,7.734729830000000583e-02,1.517786980000000096e-19,9.999999979999999707e-10,9.991818469999999942e-10,3.449239909999999969e-93,0.000000000000000000e+00,-2.531960779999999864e-96,5.448287370000000048e-05,2.314796780000000075e-92,-3.259648799999999935e-93,-9.946594189999999499e-105
1.165469460000000037e-03,2.524520250000000020e-92,-3.253590830000000105e-93,-3.253380560000000042e-93,4.471720069999999712e-104,-9.751117899999999216e-94,-3.995380840000000072e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.357653520000000114e-01,9.999999979999999707e-10,1.786153770000000030e-17,1.559026890000000014e-12,-6.277813759999999860e-16,0.000000000000000000e+00,0.000000000000000000e+00,1.175469460000000063e-03,0.000000000000000000e+00,4.034630310000000017e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.113166439999999636e-94,8.273472979999999533e-01,1.763785089999999958e-17,9.999999979999999707e-10,9.997107570000000988e-10,3.439103830000000052e-93,0.000000000000000000e+00,-2.524520249999999838e-96,3.837384190000000216e-03,2.307994419999999995e-92,-3.253590830000000105e-93,-9.892092300000000313e-105
1.315469459999999997e-03,2.517101590000000073e-92,-3.247544129999999908e-93,-3.247334240000000078e-93,4.460361960000000059e-104,-9.732995729999999846e-94,-3.987955539999999771e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.491213999999999928e-01,9.999999979999999707e-10,6.563346350000000604e-17,5.656997839999999710e-12,-2.271409590000000038e-15,0.000000000000000000e+00,0.000000000000000000e+00,1.325469460000000023e-03,0.000000000000000000e+00,4.027132059999999765e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.098088359999999840e-94,1.577347300000000008e+00,6.519264949999999901e-17,9.999999979999999707e-10,9.998977429999999243e-10,3.428997530000000133e-93,0.000000000000000000e+00,-2.517101590000000182e-96,9.672540090000000812e-03,2.301212049999999894e-92,-3.247544129999999908e-93,-9.919343239999999670e-105
