time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,8.875510250000000747e-93,-1.134316350000000050e-93,-1.134228090000000100e-93,-1.350287069999999952e-99,-3.387938909999999863e-94,-1.392912539999999878e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.590087330000000110e-53,9.999999979999999707e-10,4.941860139999999816e-42,-8.060373380000000596e-45,8.062814759999999965e-44,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,1.415166940000000006e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.828498260000000209e-94,-8.259448179999999577e-45,4.934803270000000168e-42,9.999999979999999707e-10,6.696700160000000345e-11,1.209093140000000031e-93,0.000000000000000000e+00,-8.875510249999999845e-97,-6.947847079999999782e-45,8.353235870000000078e-93,-1.134316350000000050e-93,8.938309299999999514e-104
1.442799999999999942e-04,8.850735350000000509e-93,-1.130314730000000019e-93,-1.130242670000000096e-93,1.521097609999999989e-104,-3.375987030000000042e-94,-1.388018139999999931e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.382921690000000685e-55,9.999999979999999707e-10,4.528467869999999703e-42,-7.847912939999999692e-45,-4.392641750000000226e-52,0.000000000000000000e+00,0.000000000000000000e+00,1.542799999999999933e-04,0.000000000000000000e+00,1.381909320000000050e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.818559559999999910e-94,-7.847909210000000368e-45,4.519367939999999913e-42,9.999999979999999707e-10,6.567866639999999493e-10,1.205718110000000103e-93,0.000000000000000000e+00,-8.850735350000000288e-97,-1.381857549999999927e-45,8.091615750000000156e-93,-1.130314730000000019e-93,-3.494933439999999978e-105
2.942800000000000082e-04,8.824726200000000528e-93,-1.126176339999999978e-93,-1.126104540000000046e-93,1.516207610000000060e-104,-3.363626609999999763e-94,-1.382936219999999930e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.686648460000000300e-55,9.999999979999999707e-10,4.098885019999999731e-42,-7.845280349999999552e-45,-1.557350570000000031e-52,0.000000000000000000e+00,0.000000000000000000e+00,3.042799999999999802e-04,0.000000000000000000e+00,1.376849770000000002e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.808240039999999900e-94,-7.845276570000000361e-45,4.089788809999999998e-42,9.999999979999999707e-10,8.786577580000000044e-10,1.202174929999999929e-93,0.000000000000000000e+00,-8.824726199999999911e-97,-3.017392870000000115e-46,8.067837369999999159e-93,-1.126176339999999978e-93,-3.474495229999999837e-105
4.442800000000000221e-04,8.798793479999999949e-93,-1.122053099999999927e-93,-1.121981559999999986e-93,1.511328249999999959e-104,-3.351311449999999976e-94,-1.377872910000000016e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.170751360000000160e-59,9.999999979999999707e-10,3.669553569999999725e-42,-7.842630010000000406e-45,-5.373930120000000454e-53,0.000000000000000000e+00,0.000000000000000000e+00,4.542799999999999941e-04,0.000000000000000000e+00,1.371808750000000035e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.797958300000000020e-94,-7.842626210000000521e-45,3.660461070000000266e-42,9.999999979999999707e-10,9.570997439999999903e-10,1.198642169999999966e-93,0.000000000000000000e+00,-8.798793479999999809e-97,-1.083316929999999980e-46,8.044128869999999766e-93,-1.122053099999999927e-93,-3.460869760000000159e-105
5.942799999999999819e-04,8.772936959999999640e-93,-1.117944950000000064e-93,-1.117873669999999902e-93,1.506467519999999873e-104,-3.339041370000000106e-94,-1.372828139999999995e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.679198060000000071e-55,9.999999979999999707e-10,3.240473359999999950e-42,-7.839977210000000561e-45,-1.722254100000000011e-53,0.000000000000000000e+00,0.000000000000000000e+00,6.042800000000000081e-04,0.000000000000000000e+00,1.366786180000000061e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.787714199999999882e-94,-7.839973420000000401e-45,3.231384579999999911e-42,9.999999979999999707e-10,9.848327180000000309e-10,1.195119789999999921e-93,0.000000000000000000e+00,-8.772936959999999607e-97,-7.368475629999999998e-47,8.020490050000000509e-93,-1.117944950000000064e-93,-3.467682490000000149e-105
7.442800000000000500e-04,8.747156430000000615e-93,-1.113851850000000097e-93,-1.113780829999999926e-93,1.501624089999999902e-104,-3.326816229999999765e-94,-1.367801839999999939e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.348128680000000330e-55,9.999999979999999707e-10,2.811644249999999921e-42,-7.837324719999999646e-45,-4.324455209999999949e-54,0.000000000000000000e+00,0.000000000000000000e+00,7.542799999999999679e-04,0.000000000000000000e+00,1.361781999999999932e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.777507609999999809e-94,-7.837320919999999761e-45,2.802559180000000155e-42,9.999999979999999707e-10,9.946376430000000574e-10,1.191607760000000000e-93,0.000000000000000000e+00,-8.747156430000000135e-97,-6.746304519999999870e-47,7.996920689999999774e-93,-1.113851850000000097e-93,-3.440431550000000018e-105
8.942800000000000098e-04,8.721451660000000336e-93,-1.109773729999999937e-93,-1.109702969999999970e-93,1.496793970000000034e-104,-3.314635839999999795e-94,-1.362793939999999920e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.100959809999999969e-54,9.999999979999999707e-10,2.383066109999999893e-42,-7.834673020000000620e-45,5.391600990000000067e-56,0.000000000000000000e+00,0.000000000000000000e+00,9.042800000000000360e-04,0.000000000000000000e+00,1.356796139999999936e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.767338389999999945e-94,-7.834669219999999490e-45,2.373984750000000082e-42,9.999999979999999707e-10,9.981041499999999752e-10,1.188106049999999983e-93,0.000000000000000000e+00,-8.721451659999999977e-97,-6.633072010000000257e-47,7.973420600000000426e-93,-1.109773729999999937e-93,-3.419993339999999877e-105
1.041500000000000108e-03,8.696296740000000827e-93,-1.105785710000000023e-93,-1.105715210000000047e-93,1.492070299999999874e-104,-3.302724550000000064e-94,-1.357896690000000092e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.415547520000000007e-05,9.999999979999999707e-10,3.554186640000000025e-06,4.099071209999999791e-12,2.824081140000000071e-11,4.979999999999999982e-01,0.000000000000000000e+00,1.051499999999999917e-03,0.000000000000000000e+00,1.351920440000000032e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.757393850000000028e-94,4.028133030000000096e-12,4.449829269999999817e-06,9.999999979999999707e-10,9.993166840000000953e-10,1.184679240000000068e-93,0.000000000000000000e+00,-8.696296739999999816e-97,2.785011340000000023e-15,7.950423190000000758e-93,-1.105785710000000023e-93,-3.406367869999999811e-105
1.191500000000000068e-03,8.670741429999999962e-93,-1.101737130000000017e-93,-1.101666879999999958e-93,1.487272109999999961e-104,-3.290632369999999996e-94,-1.352925050000000018e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.492114989999999898e-04,9.999999979999999707e-10,4.958427790000000048e-05,5.669753110000000169e-11,3.139449289999999991e-11,2.298000000000000043e+00,0.000000000000000000e+00,1.201500000000000094e-03,0.000000000000000000e+00,1.346970679999999949e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.747298269999999967e-94,5.661635040000000061e-11,5.053748450000000286e-05,9.999999979999999707e-10,9.997584139999999959e-10,1.181197889999999934e-93,0.000000000000000000e+00,-8.670741429999999663e-97,2.596910440000000161e-13,7.927059729999999541e-93,-1.101737130000000017e-93,-3.433618809999999943e-105
1.341500000000000027e-03,8.645261219999999814e-93,-1.097703360000000062e-93,-1.097633380000000067e-93,1.482489889999999951e-104,-3.278584460000000185e-94,-1.347971620000000024e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.739770749999999810e-04,9.999999979999999707e-10,9.332063239999999617e-05,1.073527599999999999e-10,3.123355249999999734e-11,4.097999999999999865e+00,0.000000000000000000e+00,1.351500000000000054e-03,0.000000000000000000e+00,1.342039060000000044e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.737239659999999842e-94,1.072697280000000061e-10,9.422823880000000371e-05,9.999999979999999707e-10,9.999145870000000576e-10,1.177726779999999968e-93,0.000000000000000000e+00,-8.645261219999999507e-97,6.594089400000000286e-13,7.903764940000000419e-93,-1.097703360000000062e-93,-3.379116930000000067e-105
