time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,8.876867609999999942e-93,-1.135736469999999932e-93,-1.134331779999999965e-93,-1.850258729999999981e-94,-3.392180490000000146e-94,-1.393037969999999954e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.282281389999999917e-53,9.999999979999999707e-10,4.954138149999999972e-42,-6.093498219999999712e-45,7.433103440000000555e-43,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-6.933959329999999607e-99,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.828756849999999896e-94,-7.942402859999999412e-45,4.951837099999999896e-42,9.999999979999999707e-10,6.696700160000000345e-11,1.209278049999999942e-93,0.000000000000000000e+00,-8.876867609999999811e-97,-6.971829120000000482e-45,8.353244950000000254e-93,-1.135743789999999973e-93,1.557717859999999902e-99
1.365600000000000071e-04,8.852135519999999471e-93,-1.131705590000000098e-93,-1.131633430000000081e-93,1.593372480000000002e-104,-3.380141190000000256e-94,-1.389726099999999922e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.651170649999999515e-55,9.999999979999999707e-10,4.558950880000000094e-42,-7.597562219999999743e-45,-6.147638580000000301e-52,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,1.383608420000000064e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.822027809999999762e-94,-7.597558620000000572e-45,4.549819629999999716e-42,9.999999979999999707e-10,6.379365840000000148e-10,1.205908849999999984e-93,0.000000000000000000e+00,-8.852135520000000339e-97,-1.506750540000000002e-45,8.092895840000000600e-93,-1.131705590000000098e-93,-3.610749939999999804e-105
2.865599999999999940e-04,8.826122249999999927e-93,-1.127562099999999907e-93,-1.127490209999999954e-93,1.588388009999999945e-104,-3.367765570000000259e-94,-1.384637930000000118e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.941009279999999985e-55,9.999999979999999707e-10,4.127886679999999972e-42,-7.595016540000000506e-45,-2.179074119999999877e-52,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,1.378543989999999975e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.811695589999999743e-94,-7.595012869999999530e-45,4.118759160000000074e-42,9.999999979999999707e-10,8.719998320000000454e-10,1.202365120000000033e-93,0.000000000000000000e+00,-8.826122249999999593e-97,-3.223080789999999943e-46,8.069113680000000832e-93,-1.127562099999999907e-93,-3.576686270000000070e-105
4.365600000000000079e-04,8.800185429999999933e-93,-1.123433789999999925e-93,-1.123362159999999963e-93,1.583282449999999866e-104,-3.355435249999999876e-94,-1.379568389999999962e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.406497330000000152e-56,9.999999979999999707e-10,3.697074750000000169e-42,-7.592451249999999974e-45,-7.504076160000000141e-53,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,1.373496769999999968e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.801401200000000220e-94,-7.592447580000000242e-45,3.687950960000000112e-42,9.999999979999999707e-10,9.547481390000000813e-10,1.198831789999999935e-93,0.000000000000000000e+00,-8.800185430000000331e-97,-1.102713630000000030e-46,8.045401439999999555e-93,-1.123433789999999925e-93,-3.563060789999999919e-105
5.865599999999999677e-04,8.774324830000000355e-93,-1.119320590000000066e-93,-1.119249220000000095e-93,1.578196850000000015e-104,-3.343150080000000137e-94,-1.374517410000000058e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.451481159999999655e-55,9.999999979999999707e-10,3.266514930000000313e-42,-7.589883180000000090e-45,-2.378475839999999781e-53,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,1.368468020000000058e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.791144499999999741e-94,-7.589879499999999388e-45,3.257394860000000313e-42,9.999999979999999707e-10,9.840021230000000829e-10,1.195308850000000040e-93,0.000000000000000000e+00,-8.774324830000000096e-97,-7.229833610000000116e-47,8.021758880000000116e-93,-1.119320590000000066e-93,-3.569873529999999995e-105
7.365600000000000359e-04,8.748540220000000359e-93,-1.115222449999999962e-93,-1.115151339999999983e-93,1.573127209999999904e-104,-3.330909890000000114e-94,-1.369484930000000126e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.133856429999999516e-55,9.999999979999999707e-10,2.836207070000000133e-42,-7.587315309999999675e-45,-5.572428750000000018e-54,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,1.363457679999999934e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.780925350000000047e-94,-7.587311639999999943e-45,2.827090729999999976e-42,9.999999979999999707e-10,9.943442740000000773e-10,1.191796269999999917e-93,0.000000000000000000e+00,-8.748540219999999552e-97,-6.548326169999999865e-47,7.998185790000000125e-93,-1.115222449999999962e-93,-3.549435320000000241e-105
8.865599999999999956e-04,8.722831380000000033e-93,-1.111139310000000026e-93,-1.111068469999999898e-93,1.568070890000000058e-104,-3.318714509999999944e-94,-1.364470870000000058e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080598249999999950e-54,9.999999979999999707e-10,2.406151039999999885e-42,-7.584748199999999486e-45,7.210261649999999615e-55,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,1.358465680000000047e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.770743619999999864e-94,-7.584744520000000029e-45,2.397038420000000104e-42,9.999999979999999707e-10,9.980005320000000403e-10,1.188294009999999911e-93,0.000000000000000000e+00,-8.722831379999999966e-97,-6.424556469999999911e-47,7.974681980000000742e-93,-1.111139310000000026e-93,-3.528997120000000185e-105
1.031000000000000015e-03,8.698146889999999547e-93,-1.107221649999999913e-93,-1.107151059999999915e-93,1.423273639999999913e-104,-3.307013379999999894e-94,-1.359660009999999877e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.151879119999999992e-12,1.805882080000000126e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,1.353676000000000075e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.760974520000000228e-94,1.106580670000000060e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,1.184931290000000006e-93,0.000000000000000000e+00,-8.698146889999999831e-97,4.607203599999999550e-16,7.952114649999999639e-93,-1.107221649999999913e-93,-3.324615040000000107e-105
1.180999999999999975e-03,8.672586139999999656e-93,-1.103167810000000074e-93,-1.103097469999999993e-93,1.558197740000000121e-104,-3.294905489999999987e-94,-1.354681920000000129e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.307133989999999865e-11,3.143723409999999967e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,1.348719819999999953e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.750865830000000236e-94,5.299021349999999984e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,1.181449199999999980e-93,0.000000000000000000e+00,-8.672586139999999635e-97,2.339718140000000007e-13,7.928746229999999511e-93,-1.103167810000000074e-93,-3.515371640000000034e-105
1.330999999999999935e-03,8.647100510000000630e-93,-1.099128810000000079e-93,-1.099058729999999989e-93,1.553191979999999936e-104,-3.282841939999999998e-94,-1.349722060000000022e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038549380000000026e-10,3.122175229999999681e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,1.343781790000000060e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.740794160000000016e-94,1.037720910000000058e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,1.177977340000000048e-93,0.000000000000000000e+00,-8.647100509999999604e-97,6.304997060000000295e-13,7.905446470000000554e-93,-1.099128810000000079e-93,-3.501746170000000356e-105
