time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-7.424626880000000364e-93,9.469927040000000430e-94,9.461220199999999801e-94,8.238313750000000406e-95,2.847924950000000061e-94,1.161908680000000003e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.282281389999999917e-53,9.999999979999999707e-10,4.954138149999999972e-42,-6.093498219999999712e-45,7.433103440000000555e-43,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-7.278511500000000602e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.359228860000000020e-94,-7.942402859999999412e-45,4.951837099999999896e-42,9.999999979999999707e-10,6.696700160000000345e-11,-1.011529550000000095e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.971829120000000482e-45,-7.423962919999999732e-93,9.469976070000000047e-94,-1.043173589999999951e-99
1.365600000000000071e-04,-7.423693889999999580e-93,9.264118959999999873e-94,9.260259700000000190e-94,-3.705481760000000215e-97,2.786031550000000154e-94,1.137229399999999943e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.651170649999999515e-55,9.999999979999999707e-10,4.558950880000000094e-42,-7.597562219999999743e-45,-6.147638580000000301e-52,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,-7.502134220000000388e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.309117789999999903e-94,-7.597558620000000572e-45,4.549819629999999716e-42,9.999999979999999707e-10,6.379365840000000148e-10,-1.011402440000000045e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.506750540000000002e-45,-7.423713169999999632e-93,9.264118959999999873e-94,1.008284889999999985e-104
2.865599999999999940e-04,-7.423385679999999888e-93,9.041677349999999758e-94,9.037910759999999797e-94,-3.616509099999999972e-97,2.719135890000000241e-94,1.109923279999999958e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.941009279999999985e-55,9.999999979999999707e-10,4.127886679999999972e-42,-7.595016540000000506e-45,-2.179074119999999877e-52,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,-7.322000459999999636e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.253673349999999937e-94,-7.595012869999999530e-45,4.118759160000000074e-42,9.999999979999999707e-10,8.719998320000000454e-10,-1.011360449999999906e-93,0.000000000000000000e+00,0.000000000000000000e+00,-3.223080789999999943e-46,-7.423404959999999939e-93,9.041677349999999758e-94,9.844403150000000428e-105
4.365600000000000079e-04,-7.423077490000000343e-93,8.824576799999999638e-94,8.820900659999999936e-94,-3.529672770000000126e-97,2.653846469999999949e-94,1.083272809999999956e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.406497330000000152e-56,9.999999979999999707e-10,3.697074750000000169e-42,-7.592451249999999974e-45,-7.504076160000000141e-53,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,-7.146191240000000210e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.199560200000000087e-94,-7.592447580000000242e-45,3.687950960000000112e-42,9.999999979999999707e-10,9.547481390000000813e-10,-1.011318459999999979e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.102713630000000030e-46,-7.423096770000000394e-93,8.824576799999999638e-94,9.609363769999999879e-105
5.865599999999999677e-04,-7.422769310000000019e-93,8.612689080000000191e-94,8.609101200000000225e-94,-3.444921469999999827e-97,2.590124719999999846e-94,1.057262249999999959e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.451481159999999655e-55,9.999999979999999707e-10,3.266514930000000313e-42,-7.589883180000000090e-45,-2.378475839999999781e-53,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,-6.974603390000000292e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.146746350000000007e-94,-7.589879499999999388e-45,3.257394860000000313e-42,9.999999979999999707e-10,9.840021230000000829e-10,-1.011276470000000053e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.229833610000000116e-47,-7.422788579999999997e-93,8.612689080000000191e-94,9.377730749999999282e-105
7.365600000000000359e-04,-7.422461139999999769e-93,8.405889019999999628e-94,8.402387290000000316e-94,-3.362205149999999911e-97,2.527933000000000190e-94,1.031876229999999985e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.133856429999999516e-55,9.999999979999999707e-10,2.836207070000000133e-42,-7.587315309999999675e-45,-5.572428750000000018e-54,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,-6.807135549999999785e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.095200629999999989e-94,-7.587311639999999943e-45,2.827090729999999976e-42,9.999999979999999707e-10,9.943442740000000773e-10,-1.011234489999999987e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.548326169999999865e-47,-7.422480419999999820e-93,8.405889019999999628e-94,9.149504100000000659e-105
8.865599999999999956e-04,-7.422152989999999665e-93,8.204054450000000069e-94,8.200636799999999853e-94,-3.281474940000000228e-97,2.467234569999999859e-94,1.007099750000000053e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080598249999999950e-54,9.999999979999999707e-10,2.406151039999999885e-42,-7.584748199999999486e-45,7.210261649999999615e-55,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,-6.643688790000000590e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.044892580000000049e-94,-7.584744520000000029e-45,2.397038420000000104e-42,9.999999979999999707e-10,9.980005320000000403e-10,-1.011192500000000061e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.424556469999999911e-47,-7.422172259999999643e-93,8.204054450000000069e-94,8.931496560000000213e-105
1.031000000000000015e-03,-7.421856269999999943e-93,8.014282739999999803e-94,8.010944140000000323e-94,-3.205569520000000252e-97,2.410163840000000109e-94,9.838040719999999480e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.151879119999999992e-12,1.805882080000000126e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,-6.490010590000000540e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.997591240000000093e-94,1.106580670000000060e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,-1.011152079999999941e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.607203599999999550e-16,-7.421875539999999921e-93,8.014282739999999803e-94,2.404895719999999901e-105
1.180999999999999975e-03,-7.421548139999999986e-93,7.821851059999999926e-94,7.818592630000000029e-94,-3.128600429999999965e-97,2.352293179999999890e-94,9.601818620000000527e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.307133989999999865e-11,3.143723409999999967e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,-6.334178370000000390e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.949626890000000085e-94,5.299021349999999984e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,-1.011110100000000088e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.339718140000000007e-13,-7.421567409999999964e-93,7.821851059999999926e-94,8.509106940000000076e-105
1.330999999999999935e-03,-7.421240020000000102e-93,7.634039880000000476e-94,7.630859690000000057e-94,-3.053479320000000141e-97,2.295812050000000000e-94,9.371268480000000565e-95,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038549380000000026e-10,3.122175229999999681e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,-6.182087829999999497e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.902814219999999985e-94,1.037720910000000058e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,-1.011068120000000023e-93,0.000000000000000000e+00,0.000000000000000000e+00,6.304997060000000295e-13,-7.421259290000000080e-93,7.634039880000000476e-94,8.311537610000000158e-105
