time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,2.582860290000000045e-92,-3.301340910000000037e-93,-3.300871259999999923e-93,-7.241429559999999369e-95,-9.894226440000000314e-94,-4.053702509999999779e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.962494690000000004e-54,9.999999979999999707e-10,4.937456090000000089e-42,6.573550129999999982e-46,2.994014289999999859e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,3.523637020000000044e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.231597090000000116e-94,-6.797672340000000005e-45,4.952238550000000058e-42,9.999999979999999707e-10,6.696700160000000345e-11,3.518579309999999998e-93,0.000000000000000000e+00,-2.582860290000000158e-96,-6.971925139999999394e-45,2.430836289999999884e-92,-3.301341850000000119e-93,1.993989650000000029e-100
1.365600000000000071e-04,2.576001370000000002e-92,-3.296613599999999854e-93,-3.296399499999999802e-93,4.540778859999999781e-104,-9.880058529999999130e-94,-4.048210880000000105e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.652763399999999418e-55,9.999999979999999707e-10,4.537662130000000285e-42,-2.361041560000000035e-45,-7.005998780000000576e-51,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,3.247309729999999836e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.220445560000000067e-94,-2.361040499999999982e-45,4.528531059999999849e-42,9.999999979999999707e-10,6.379365840000000148e-10,3.509235539999999853e-93,0.000000000000000000e+00,-2.576001369999999841e-96,-1.472249599999999857e-45,2.355060059999999894e-92,-3.296613599999999854e-93,-9.864841359999999408e-105
2.865599999999999940e-04,2.568431419999999993e-92,-3.291745920000000081e-93,-3.291532130000000173e-93,4.528909790000000162e-104,-9.865469930000000979e-94,-4.042233420000000011e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.941223089999999653e-55,9.999999979999999707e-10,4.106610110000000003e-42,-2.360267959999999882e-45,-2.522741239999999989e-51,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,3.242514850000000282e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.208307499999999537e-94,-2.360266829999999890e-45,4.097482770000000045e-42,9.999999979999999707e-10,8.719998320000000454e-10,3.498923149999999874e-93,0.000000000000000000e+00,-2.568431419999999853e-96,-2.798820319999999953e-46,2.348139369999999996e-92,-3.291745920000000081e-93,-1.002834700000000020e-104
4.365600000000000079e-04,2.560883719999999849e-92,-3.286885429999999820e-93,-3.286671950000000058e-93,4.518036029999999814e-104,-9.850902879999999092e-94,-4.036264779999999888e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.400012829999999832e-56,9.999999979999999707e-10,3.675810339999999833e-42,-2.359473910000000101e-45,-9.058765099999999547e-52,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,3.237727050000000279e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.196187359999999727e-94,-2.359472770000000073e-45,3.666686719999999933e-42,9.999999979999999707e-10,9.547481390000000813e-10,3.488641059999999875e-93,0.000000000000000000e+00,-2.560883719999999899e-96,-6.643896269999999748e-47,2.341239029999999993e-92,-3.286885429999999820e-93,-9.946594189999999499e-105
5.865599999999999677e-04,2.553358199999999907e-92,-3.282032110000000204e-93,-3.281818949999999808e-93,4.507188869999999966e-104,-9.836357329999999488e-94,-4.030304950000000090e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.450925250000000285e-55,9.999999979999999707e-10,3.245262669999999825e-42,-2.358676410000000129e-45,-3.229376239999999827e-52,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,3.232946320000000263e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.184085120000000279e-94,-2.358675270000000101e-45,3.236142779999999767e-42,9.999999979999999707e-10,9.840021230000000829e-10,3.478389190000000121e-93,0.000000000000000000e+00,-2.553358200000000117e-96,-2.822645470000000018e-47,2.334358959999999979e-92,-3.282032110000000204e-93,-9.919343239999999670e-105
7.365600000000000359e-04,2.545854790000000166e-92,-3.277185959999999953e-93,-3.276973120000000201e-93,4.496363010000000098e-104,-9.821833270000000390e-94,-4.024353919999999905e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.133646159999999466e-55,9.999999979999999707e-10,2.814966969999999916e-42,-2.357878499999999936e-45,-1.129431170000000086e-52,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,3.228172650000000020e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.172000750000000120e-94,-2.357877359999999908e-45,2.805850799999999915e-42,9.999999979999999707e-10,9.943442740000000773e-10,3.468167449999999952e-93,0.000000000000000000e+00,-2.545854789999999815e-96,-2.138076939999999993e-47,2.327499110000000098e-92,-3.277185959999999953e-93,-9.892092300000000313e-105
8.865599999999999956e-04,2.538373429999999845e-92,-3.272346969999999847e-93,-3.272134439999999814e-93,4.485574410000000261e-104,-9.807330639999999657e-94,-4.018411680000000217e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080732339999999929e-54,9.999999979999999707e-10,2.384923080000000051e-42,-2.357080750000000004e-45,-3.747242039999999928e-53,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,3.223406029999999986e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.159934220000000308e-94,-2.357079609999999977e-45,2.375810630000000108e-42,9.999999979999999707e-10,9.980005320000000403e-10,3.457975739999999911e-93,0.000000000000000000e+00,-2.538373429999999942e-96,-2.014984560000000039e-47,2.320659419999999911e-92,-3.272346969999999847e-93,-9.946594189999999499e-105
1.031000000000000015e-03,2.531190159999999927e-92,-3.267694090000000151e-93,-3.267481869999999837e-93,4.164274080000000067e-104,-9.793385820000000170e-94,-4.012697999999999980e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.151047340000000027e-12,1.805073840000000138e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,3.218822740000000170e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.148331800000000001e-94,1.105768099999999956e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,3.448190109999999956e-93,0.000000000000000000e+00,-2.531190160000000057e-96,4.603044460000000132e-16,2.314092259999999999e-92,-3.267694090000000151e-93,-9.837590409999999579e-105
1.180999999999999975e-03,2.523751899999999966e-92,-3.262869119999999837e-93,-3.262657200000000020e-93,4.464470890000000198e-104,-9.778925210000000221e-94,-4.006772969999999957e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.307004049999999819e-11,3.143726870000000026e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,3.214069930000000192e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.136300219999999999e-94,5.298891409999999938e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,3.438057110000000063e-93,0.000000000000000000e+00,-2.523751900000000111e-96,2.339626999999999882e-13,2.307291969999999943e-92,-3.262869119999999837e-93,-9.892092300000000313e-105
1.330999999999999935e-03,2.516335490000000002e-92,-3.258051260000000152e-93,-3.257839660000000128e-93,4.453767450000000253e-104,-9.764485939999999679e-94,-4.000856690000000244e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038536869999999978e-10,3.122175500000000160e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,3.209324130000000215e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.124286399999999971e-94,1.037708409999999950e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,3.427953890000000169e-93,0.000000000000000000e+00,-2.516335490000000160e-96,6.304893789999999893e-13,2.300511659999999964e-92,-3.258051260000000152e-93,-9.946594189999999499e-105
