time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,2.582860290000000045e-92,-3.301267530000000013e-93,-3.300778680000000008e-93,-7.241246289999999885e-95,-9.894006510000000079e-94,-4.053589109999999908e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.962494690000000004e-54,9.999999979999999707e-10,4.937456090000000089e-42,6.573550129999999982e-46,2.994014289999999859e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,4.517054079999999908e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.231366210000000467e-94,-6.797672340000000005e-45,4.952238550000000058e-42,9.999999979999999707e-10,6.696700160000000345e-11,3.518579309999999998e-93,0.000000000000000000e+00,-2.582860290000000158e-96,-6.971925139999999394e-45,2.430836289999999884e-92,-3.301268400000000008e-93,1.856579489999999948e-100
1.725599999999999877e-04,2.574182549999999961e-92,-3.293902199999999842e-93,-3.293689310000000149e-93,4.547650139999999698e-104,-9.871932370000000583e-94,-4.044882839999999947e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.760959719999999559e-55,9.999999979999999707e-10,4.434186640000000147e-42,-2.360860209999999953e-45,-5.483604240000000108e-51,0.000000000000000000e+00,0.000000000000000000e+00,1.825599999999999868e-04,0.000000000000000000e+00,4.084618600000000114e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.213687010000000531e-94,-2.360859110000000068e-45,4.425056460000000269e-42,9.999999979999999707e-10,7.178975500000000176e-10,3.506757799999999869e-93,0.000000000000000000e+00,-2.574182549999999974e-96,-9.809799870000000279e-46,2.353397229999999985e-92,-3.293902199999999842e-93,-1.011009980000000042e-104
3.585600000000000094e-04,2.564805749999999995e-92,-3.286313080000000077e-93,-3.286100689999999794e-93,4.533311460000000006e-104,-9.849187539999999205e-94,-4.035563469999999938e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.164161350000000044e-55,9.999999979999999707e-10,3.899794750000000181e-42,-2.359887709999999870e-45,-1.543814209999999929e-51,0.000000000000000000e+00,0.000000000000000000e+00,3.685599999999999814e-04,0.000000000000000000e+00,4.075207679999999949e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.194762759999999558e-94,-2.359886570000000154e-45,3.890669199999999851e-42,9.999999979999999707e-10,9.222939259999999805e-10,3.493983969999999815e-93,0.000000000000000000e+00,-2.564805750000000127e-96,-1.337479629999999922e-46,2.344824669999999837e-92,-3.286313080000000077e-93,-1.000109609999999963e-104
5.445600000000000310e-04,2.555463109999999878e-92,-3.278741450000000009e-93,-3.278529549999999913e-93,4.519036649999999767e-104,-9.826495109999998957e-94,-4.026265580000000255e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.418032979999999943e-55,9.999999979999999707e-10,3.365790610000000186e-42,-2.358899800000000119e-45,-4.315838770000000124e-52,0.000000000000000000e+00,0.000000000000000000e+00,5.545599999999999488e-04,0.000000000000000000e+00,4.065818440000000064e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.175882110000000100e-94,-2.358898660000000091e-45,3.356669680000000256e-42,9.999999979999999707e-10,9.785955980000000688e-10,3.481256669999999989e-93,0.000000000000000000e+00,-2.555463110000000024e-96,-3.338316219999999830e-47,2.336283340000000018e-92,-3.278741450000000009e-93,-1.000109609999999963e-104
7.305599999999999985e-04,2.546154499999999849e-92,-3.271187260000000121e-93,-3.270975850000000213e-93,4.504815060000000231e-104,-9.803854969999999456e-94,-4.016989100000000174e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.987217079999999931e-55,9.999999979999999707e-10,2.832173960000000033e-42,-2.357910420000000094e-45,-1.178685760000000041e-52,0.000000000000000000e+00,0.000000000000000000e+00,7.405600000000000247e-04,0.000000000000000000e+00,4.056450840000000249e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.157044960000000361e-94,-2.357909280000000066e-45,2.823057640000000082e-42,9.999999979999999707e-10,9.941040840000000672e-10,3.468575740000000068e-93,0.000000000000000000e+00,-2.546154499999999923e-96,-2.148726059999999992e-47,2.327773119999999988e-92,-3.271187260000000121e-93,-9.946594189999999499e-105
9.165599999999999659e-04,2.536879800000000049e-92,-3.263650480000000193e-93,-3.263439549999999974e-93,4.490636059999999874e-104,-9.781266990000001027e-94,-4.007734000000000218e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.153964610000000045e-54,9.999999979999999707e-10,2.298944500000000141e-42,-2.356921220000000089e-45,-2.965778410000000047e-53,0.000000000000000000e+00,0.000000000000000000e+00,9.265599999999999921e-04,0.000000000000000000e+00,4.047104819999999872e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.138251209999999607e-94,-2.356920080000000062e-45,2.289832799999999953e-42,9.999999979999999707e-10,9.983759480000000852e-10,3.455941000000000009e-93,0.000000000000000000e+00,-2.536879800000000060e-96,-2.007079599999999943e-47,2.319293900000000134e-92,-3.263650480000000193e-93,-9.892092300000000313e-105
1.097000000000000102e-03,2.527914630000000086e-92,-3.256355590000000197e-93,-3.256145130000000019e-93,4.476914779999999694e-104,-9.759403950000000017e-94,-3.998775930000000236e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.423566060000000593e-05,9.999999979999999707e-10,2.066601760000000117e-05,2.357301089999999884e-11,3.185651719999999965e-11,1.163999999999999924e+00,0.000000000000000000e+00,1.106999999999999911e-03,0.000000000000000000e+00,4.038058749999999725e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.120060639999999908e-94,2.349214709999999976e-11,2.166076029999999976e-05,9.999999979999999707e-10,9.995350679999999124e-10,3.443727920000000199e-93,0.000000000000000000e+00,-2.527914629999999994e-96,5.962335330000000139e-14,2.311097660000000050e-92,-3.256355590000000197e-93,-9.946594189999999499e-105
1.283000000000000069e-03,2.518706370000000162e-92,-3.248852980000000107e-93,-3.248643010000000116e-93,4.462826260000000071e-104,-9.736918390000000440e-94,-3.989562800000000166e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.268877529999999978e-04,9.999999979999999707e-10,7.651241590000000168e-05,8.779895750000000555e-11,3.120773539999999943e-11,3.395999999999999908e+00,0.000000000000000000e+00,1.293000000000000095e-03,0.000000000000000000e+00,4.028755109999999713e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.101352099999999938e-94,8.771686040000000538e-11,7.743478220000000675e-05,9.999999979999999707e-10,9.998719310000000424e-10,3.431183690000000200e-93,0.000000000000000000e+00,-2.518706370000000015e-96,4.993189989999999966e-13,2.302679190000000064e-92,-3.248852980000000107e-93,-9.892092300000000313e-105
1.469000000000000037e-03,2.509531649999999967e-92,-3.241367649999999876e-93,-3.241158170000000073e-93,4.448790959999999912e-104,-9.714484629999999720e-94,-3.980370879999999827e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.699094780000000129e-04,9.999999979999999707e-10,1.291550160000000098e-04,1.493636820000000076e-10,3.152169900000000313e-11,5.628000000000000114e+00,0.000000000000000000e+00,1.479000000000000063e-03,0.000000000000000000e+00,4.019472890000000260e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.082686669999999593e-94,1.492780580000000039e-10,1.300387070000000116e-04,9.999999979999999707e-10,9.999647219999999505e-10,3.418685149999999802e-93,0.000000000000000000e+00,-2.509531650000000175e-96,1.010902960000000037e-12,2.294291369999999899e-92,-3.241367649999999876e-93,-9.946594189999999499e-105
1.655000000000000004e-03,2.500390349999999985e-92,-3.233899580000000208e-93,-3.233690570000000021e-93,4.434787590000000017e-104,-9.692102549999999957e-94,-3.971200149999999923e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.948138060000000123e-04,9.999999979999999707e-10,1.800393640000000112e-04,2.098192289999999933e-10,3.226673819999999966e-11,7.860000000000000320e+00,0.000000000000000000e+00,1.665000000000000030e-03,0.000000000000000000e+00,4.010212070000000289e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.064064239999999557e-94,2.097290480000000021e-10,1.808998079999999873e-04,9.999999979999999707e-10,9.999902809999999255e-10,3.406232139999999961e-93,0.000000000000000000e+00,-2.500390349999999880e-96,1.519582509999999988e-12,2.285934119999999992e-92,-3.233899580000000208e-93,-9.837590409999999579e-105
1.833361400000000068e-03,2.491655739999999879e-92,-3.226754359999999888e-93,-3.226545810000000094e-93,4.421353729999999939e-104,-9.670688100000000431e-94,-3.962425879999999907e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.999880460000000084e-04,9.999999979999999707e-10,2.277651379999999894e-04,2.673508350000000099e-10,3.316542710000000032e-11,1.000033679999999947e+01,0.000000000000000000e+00,1.843361400000000094e-03,0.000000000000000000e+00,4.001351609999999797e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.046246900000000421e-94,2.672558419999999809e-10,2.286102159999999991e-04,9.999999979999999707e-10,9.999971759999999313e-10,3.394333160000000040e-93,0.000000000000000000e+00,-2.491655739999999998e-96,2.002559629999999929e-12,2.277948670000000037e-92,-3.226754359999999888e-93,-9.892092300000000313e-105
2.006167740000000185e-03,2.483222269999999896e-92,-3.219846729999999894e-93,-3.219638640000000068e-93,4.399696679999999817e-104,-9.649985720000000580e-94,-3.953943380000000030e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.798196430000000507e-04,9.999999979999999707e-10,2.718786359999999808e-04,3.212908820000000144e-10,7.467788050000000520e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.016167740000000212e-03,0.000000000000000000e+00,3.992785779999999983e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.029022020000000142e-94,3.212578710000000028e-10,2.718649989999999904e-04,9.999999979999999707e-10,9.999991460000000217e-10,3.382844409999999988e-93,0.000000000000000000e+00,-2.483222269999999888e-96,2.467896600000000073e-12,2.270238529999999970e-92,-3.219846729999999894e-93,-9.810339470000000222e-105
2.192167740000000153e-03,2.474176810000000150e-92,-3.212428239999999832e-93,-3.212220620000000046e-93,4.394613739999999767e-104,-9.627752260000000030e-94,-3.944833540000000084e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.904412649999999513e-04,9.999999979999999707e-10,2.718247879999999869e-04,3.257615650000000129e-10,7.893045809999999860e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.202167740000000179e-03,0.000000000000000000e+00,3.983586439999999993e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.010523240000000112e-94,3.257272899999999955e-10,2.718249259999999776e-04,9.999999979999999707e-10,9.999997630000000612e-10,3.370521950000000094e-93,0.000000000000000000e+00,-2.474176809999999911e-96,2.684436120000000163e-12,2.261968890000000056e-92,-3.212428239999999832e-93,-9.755837589999999959e-105
2.378167740000000120e-03,2.465164290000000162e-92,-3.205026839999999938e-93,-3.204819699999999841e-93,4.380801980000000092e-104,-9.605570009999999972e-94,-3.935744679999999992e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.137931550000000500e-04,9.999999979999999707e-10,2.717719400000000087e-04,3.300603519999999919e-10,7.888857760000000779e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.388167740000000146e-03,0.000000000000000000e+00,3.974408299999999750e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.992067070000000299e-94,3.300258960000000057e-10,2.717720480000000109e-04,9.999999979999999707e-10,9.999999329999999913e-10,3.358244389999999967e-93,0.000000000000000000e+00,-2.465164290000000014e-96,2.741854889999999990e-12,2.253729369999999994e-92,-3.205026839999999938e-93,-9.783088529999999316e-105
2.564167740000000088e-03,2.456184609999999879e-92,-3.197642489999999919e-93,-3.197435829999999936e-93,4.367022160000000226e-104,-9.583438880000000382e-94,-3.926676769999999745e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.480609839999999877e-04,9.999999979999999707e-10,2.717172500000000182e-04,3.341915239999999863e-10,7.884550270000000280e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.574167740000000114e-03,0.000000000000000000e+00,3.965251299999999919e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.973653430000000327e-94,3.341568949999999842e-10,2.717173249999999896e-04,9.999999979999999707e-10,9.999999799999999732e-10,3.346011539999999919e-93,0.000000000000000000e+00,-2.456184609999999978e-96,2.779489669999999874e-12,2.245519860000000170e-92,-3.197642489999999919e-93,-9.755837589999999959e-105
2.750167740000000055e-03,2.447237629999999977e-92,-3.190275149999999908e-93,-3.190068970000000039e-93,4.353300880000000047e-104,-9.561358740000000521e-94,-3.917629740000000214e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.916885430000000066e-04,9.999999979999999707e-10,2.716604949999999849e-04,3.381610399999999785e-10,7.880116720000000036e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.760167740000000081e-03,0.000000000000000000e+00,3.956115409999999857e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.955282220000000528e-94,3.381262460000000169e-10,2.716605319999999997e-04,9.999999979999999707e-10,9.999999930000000518e-10,3.333823250000000125e-93,0.000000000000000000e+00,-2.447237630000000083e-96,2.813611049999999964e-12,2.237340259999999849e-92,-3.190275149999999908e-93,-9.646833810000000038e-105
2.936167740000000023e-03,2.438323250000000063e-92,-3.182924790000000109e-93,-3.182719079999999856e-93,4.339606220000000071e-104,-9.539329459999999647e-94,-3.908603569999999976e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.433412950000000051e-04,9.999999979999999707e-10,2.716014330000000084e-04,3.419746020000000162e-10,7.875541930000000330e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.946167740000000049e-03,0.000000000000000000e+00,3.947000560000000014e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.936953330000000522e-94,3.419396490000000081e-10,2.716014279999999742e-04,9.999999979999999707e-10,9.999999970000000282e-10,3.321679359999999838e-93,0.000000000000000000e+00,-2.438323250000000108e-96,2.846156529999999917e-12,2.229190460000000098e-92,-3.182924790000000109e-93,-9.728586640000000130e-105
3.122167739999999990e-03,2.429441340000000037e-92,-3.175591369999999804e-93,-3.175386130000000018e-93,4.325980749999999773e-104,-9.517350949999999869e-94,-3.899598180000000252e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.018747989999999957e-04,9.999999979999999707e-10,2.715398069999999772e-04,3.456376610000000212e-10,7.870809690000000208e-12,1.200000000000000000e+01,0.000000000000000000e+00,3.132167740000000016e-03,0.000000000000000000e+00,3.937906710000000185e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.918666670000000285e-94,3.456025570000000228e-10,2.715397560000000184e-04,9.999999979999999707e-10,9.999999979999999707e-10,3.309579710000000013e-93,0.000000000000000000e+00,-2.429441339999999896e-96,2.877392650000000036e-12,2.221070340000000038e-92,-3.175591369999999804e-93,-9.674084759999999867e-105
