time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,8.875510250000000747e-93,-1.134316350000000050e-93,-1.134228090000000100e-93,-1.350287069999999952e-99,-3.387938909999999863e-94,-1.392912539999999878e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.282281389999999917e-53,9.999999979999999707e-10,4.954138149999999972e-42,-6.093498219999999712e-45,7.433103440000000555e-43,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,1.415166940000000006e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.828498260000000209e-94,-7.942402859999999412e-45,4.951837099999999896e-42,9.999999979999999707e-10,6.696700160000000345e-11,1.209093140000000031e-93,0.000000000000000000e+00,-8.875510249999999845e-97,-6.971829120000000482e-45,8.353235870000000078e-93,-1.134316350000000050e-93,8.932859109999999858e-104
1.365600000000000071e-04,8.852076020000000766e-93,-1.130528139999999906e-93,-1.130456049999999977e-93,1.593200830000000009e-104,-3.376624410000000197e-94,-1.388280200000000001e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.651170649999999515e-55,9.999999979999999707e-10,4.558950880000000094e-42,-7.597562219999999743e-45,-6.147638580000000301e-52,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,1.382170210000000016e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.819091700000000009e-94,-7.597558620000000572e-45,4.549819629999999716e-42,9.999999979999999707e-10,6.379365840000000148e-10,1.205900749999999970e-93,0.000000000000000000e+00,-8.852076019999999609e-97,-1.506750540000000002e-45,8.092841440000000130e-93,-1.130528139999999906e-93,-3.603937210000000201e-105
2.865599999999999940e-04,8.826062930000000840e-93,-1.126388960000000032e-93,-1.126317139999999954e-93,1.587758629999999921e-104,-3.364261660000000072e-94,-1.383197320000000037e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.941009279999999985e-55,9.999999979999999707e-10,4.127886679999999972e-42,-7.595016540000000506e-45,-2.179074119999999877e-52,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,1.377109719999999983e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.808770230000000067e-94,-7.595012869999999530e-45,4.118759160000000074e-42,9.999999979999999707e-10,8.719998320000000454e-10,1.202357030000000093e-93,0.000000000000000000e+00,-8.826062930000000378e-97,-3.223080789999999943e-46,8.069059450000000758e-93,-1.126388960000000032e-93,-3.583498999999999673e-105
4.365600000000000079e-04,8.800126290000000463e-93,-1.122264940000000008e-93,-1.122193389999999994e-93,1.582657059999999856e-104,-3.351944180000000087e-94,-1.378133060000000075e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.406497330000000152e-56,9.999999979999999707e-10,3.697074750000000169e-42,-7.592451249999999974e-45,-7.504076160000000141e-53,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,1.372067749999999980e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.798486549999999902e-94,-7.592447580000000242e-45,3.687950960000000112e-42,9.999999979999999707e-10,9.547481390000000813e-10,1.198823740000000075e-93,0.000000000000000000e+00,-8.800126289999999512e-97,-1.102713630000000030e-46,8.045347370000000654e-93,-1.122264940000000008e-93,-3.597124470000000126e-105
5.865599999999999677e-04,8.774265859999999577e-93,-1.118156020000000033e-93,-1.118084730000000010e-93,1.577568799999999892e-104,-3.339671790000000200e-94,-1.373087330000000091e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.451481159999999655e-55,9.999999979999999707e-10,3.266514930000000313e-42,-7.589883180000000090e-45,-2.378475839999999781e-53,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,1.367044229999999969e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.788240520000000191e-94,-7.589879499999999388e-45,3.257394860000000313e-42,9.999999979999999707e-10,9.840021230000000829e-10,1.195300819999999901e-93,0.000000000000000000e+00,-8.774265860000000188e-97,-7.229833610000000116e-47,8.021704959999999761e-93,-1.118156020000000033e-93,-3.549435320000000241e-105
7.365600000000000359e-04,8.748481419999999976e-93,-1.114062140000000093e-93,-1.113991110000000061e-93,1.572504489999999858e-104,-3.327444330000000193e-94,-1.368060079999999986e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.133856429999999516e-55,9.999999979999999707e-10,2.836207070000000133e-42,-7.587315309999999675e-45,-5.572428750000000018e-54,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,1.362039099999999967e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.778032010000000193e-94,-7.587311639999999943e-45,2.827090729999999976e-42,9.999999979999999707e-10,9.943442740000000773e-10,1.191788259999999925e-93,0.000000000000000000e+00,-8.748481419999999515e-97,-6.548326169999999865e-47,7.998132040000000165e-93,-1.114062140000000093e-93,-3.556248060000000316e-105
8.865599999999999956e-04,8.722772759999999267e-93,-1.109983259999999894e-93,-1.109912490000000066e-93,1.567450819999999961e-104,-3.315261639999999853e-94,-1.363051240000000098e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080598249999999950e-54,9.999999979999999707e-10,2.406151039999999885e-42,-7.584748199999999486e-45,7.210261649999999615e-55,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,1.357052299999999987e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.767860869999999872e-94,-7.584744520000000029e-45,2.397038420000000104e-42,9.999999979999999707e-10,9.980005320000000403e-10,1.188286020000000065e-93,0.000000000000000000e+00,-8.722772760000000405e-97,-6.424556469999999911e-47,7.974628379999999327e-93,-1.109983259999999894e-93,-3.528997120000000185e-105
1.031000000000000015e-03,8.698088429999999955e-93,-1.106069670000000041e-93,-1.105999149999999918e-93,1.422565750000000123e-104,-3.303572679999999864e-94,-1.358245390000000045e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.151879119999999992e-12,1.805882080000000126e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,1.352267599999999922e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.758101929999999817e-94,1.106580670000000060e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,1.184923320000000095e-93,0.000000000000000000e+00,-8.698088429999999537e-97,4.607203599999999550e-16,7.952061209999999398e-93,-1.106069670000000041e-93,-3.324615040000000107e-105
1.180999999999999975e-03,8.672527850000000460e-93,-1.102020050000000071e-93,-1.101949780000000079e-93,1.557580339999999988e-104,-3.291477389999999764e-94,-1.353272480000000023e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.307133989999999865e-11,3.143723409999999967e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,1.347316579999999988e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.748003760000000026e-94,5.299021349999999984e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,1.181441260000000075e-93,0.000000000000000000e+00,-8.672527850000000252e-97,2.339718140000000007e-13,7.928692939999999519e-93,-1.102020050000000071e-93,-3.522184380000000110e-105
1.330999999999999935e-03,8.647042390000000126e-93,-1.097985250000000013e-93,-1.097915240000000011e-93,1.552577239999999915e-104,-3.279426389999999749e-94,-1.348317769999999901e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038549380000000026e-10,3.122175229999999681e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,1.342383679999999966e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.737942569999999818e-94,1.037720910000000058e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,1.177969420000000077e-93,0.000000000000000000e+00,-8.647042390000000093e-97,6.304997060000000295e-13,7.905393340000000031e-93,-1.097985250000000013e-93,-3.481307969999999913e-105
