time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,2.582860290000000045e-92,-3.301267530000000013e-93,-3.300778680000000008e-93,-7.241246289999999885e-95,-9.894006510000000079e-94,-4.053589109999999908e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.962494690000000004e-54,9.999999979999999707e-10,4.937456090000000089e-42,6.573550129999999982e-46,2.994014289999999859e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,4.517054079999999908e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.231366210000000467e-94,-6.797672340000000005e-45,4.952238550000000058e-42,9.999999979999999707e-10,6.696700160000000345e-11,3.518579309999999998e-93,0.000000000000000000e+00,-2.582860290000000158e-96,-6.971925139999999394e-45,2.430836289999999884e-92,-3.301268400000000008e-93,1.856579489999999948e-100
1.365600000000000071e-04,2.576001370000000002e-92,-3.295373080000000107e-93,-3.295160100000000180e-93,4.551381179999999783e-104,-9.876340660000000131e-94,-4.046689070000000019e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.652763399999999418e-55,9.999999979999999707e-10,4.537662130000000285e-42,-2.361041560000000035e-45,-7.005998780000000576e-51,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,4.086442610000000258e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.217354810000000376e-94,-2.361040499999999982e-45,4.528531059999999849e-42,9.999999979999999707e-10,6.379365840000000148e-10,3.509235539999999853e-93,0.000000000000000000e+00,-2.576001369999999841e-96,-1.472249599999999857e-45,2.355060059999999894e-92,-3.295373080000000107e-93,-1.002834700000000020e-104
2.865599999999999940e-04,2.568431419999999993e-92,-3.289248730000000076e-93,-3.289036140000000029e-93,4.538852129999999776e-104,-9.857985769999999962e-94,-4.039168420000000244e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.941223089999999653e-55,9.999999979999999707e-10,4.106610110000000003e-42,-2.360267959999999882e-45,-2.522741239999999989e-51,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,4.078848039999999964e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.202083099999999514e-94,-2.360266829999999890e-45,4.097482770000000045e-42,9.999999979999999707e-10,8.719998320000000454e-10,3.498923149999999874e-93,0.000000000000000000e+00,-2.568431419999999853e-96,-2.798820319999999953e-46,2.348139369999999996e-92,-3.289248730000000076e-93,-1.000109609999999963e-104
4.365600000000000079e-04,2.560883719999999849e-92,-3.283135749999999985e-93,-3.282923569999999965e-93,4.527323699999999722e-104,-9.839664990000000468e-94,-4.031661739999999894e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.400012829999999832e-56,9.999999979999999707e-10,3.675810339999999833e-42,-2.359473910000000101e-45,-9.058765099999999547e-52,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,4.071267619999999859e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.186839760000000444e-94,-2.359472770000000073e-45,3.666686719999999933e-42,9.999999979999999707e-10,9.547481390000000813e-10,3.488641059999999875e-93,0.000000000000000000e+00,-2.560883719999999899e-96,-6.643896269999999748e-47,2.341239029999999993e-92,-3.283135749999999985e-93,-1.002834700000000020e-104
5.865599999999999677e-04,2.553358199999999907e-92,-3.277034139999999835e-93,-3.276822350000000121e-93,4.515821889999999872e-104,-9.821378259999999506e-94,-4.024169019999999854e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.450925250000000285e-55,9.999999979999999707e-10,3.245262669999999825e-42,-2.358676410000000129e-45,-3.229376239999999827e-52,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,4.063701289999999956e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.171624759999999964e-94,-2.358675270000000101e-45,3.236142779999999767e-42,9.999999979999999707e-10,9.840021230000000829e-10,3.478389190000000121e-93,0.000000000000000000e+00,-2.553358200000000117e-96,-2.822645470000000018e-47,2.334358959999999979e-92,-3.277034139999999835e-93,-1.005559799999999929e-104
7.365600000000000359e-04,2.545854790000000166e-92,-3.270943869999999833e-93,-3.270732469999999998e-93,4.504352010000000286e-104,-9.803125509999999541e-94,-4.016690219999999937e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.133646159999999466e-55,9.999999979999999707e-10,2.814966969999999916e-42,-2.357878499999999936e-45,-1.129431170000000086e-52,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,4.056149020000000264e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.156438029999999477e-94,-2.357877359999999908e-45,2.805850799999999915e-42,9.999999979999999707e-10,9.943442740000000773e-10,3.468167449999999952e-93,0.000000000000000000e+00,-2.545854789999999815e-96,-2.138076939999999993e-47,2.327499110000000098e-92,-3.270943869999999833e-93,-1.000109609999999963e-104
8.865599999999999956e-04,2.538373429999999845e-92,-3.264864919999999830e-93,-3.264653909999999875e-93,4.492914059999999727e-104,-9.784906690000000209e-94,-4.009225310000000135e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080732339999999929e-54,9.999999979999999707e-10,2.384923080000000051e-42,-2.357080750000000004e-45,-3.747242039999999928e-53,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,4.048610780000000140e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.141279530000000393e-94,-2.357079609999999977e-45,2.375810630000000108e-42,9.999999979999999707e-10,9.980005320000000403e-10,3.457975739999999911e-93,0.000000000000000000e+00,-2.538373429999999942e-96,-2.014984560000000039e-47,2.320659419999999911e-92,-3.264864919999999830e-93,-9.973845130000000405e-105
1.031000000000000015e-03,2.531190159999999927e-92,-3.259021969999999987e-93,-3.258811339999999839e-93,4.159962889999999718e-104,-9.767395180000000128e-94,-4.002050220000000009e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.151047340000000027e-12,1.805073840000000138e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,4.041365200000000097e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.126709530000000286e-94,1.105768099999999956e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,3.448190109999999956e-93,0.000000000000000000e+00,-2.531190160000000057e-96,4.603044460000000132e-16,2.314092259999999999e-92,-3.259021969999999987e-93,-9.810339470000000222e-105
1.180999999999999975e-03,2.523751899999999966e-92,-3.252965169999999797e-93,-3.252754929999999954e-93,4.470543809999999753e-104,-9.749242760000000292e-94,-3.994612529999999950e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.307004049999999819e-11,3.143726870000000026e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,4.033854449999999900e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.111606279999999816e-94,5.298891409999999938e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,3.438057110000000063e-93,0.000000000000000000e+00,-2.523751900000000111e-96,2.339626999999999882e-13,2.307291969999999943e-92,-3.252965169999999797e-93,-9.919343239999999670e-105
1.330999999999999935e-03,2.516335490000000002e-92,-3.246919630000000018e-93,-3.246709780000000056e-93,4.459212310000000142e-104,-9.731124069999999621e-94,-3.987188659999999812e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038536869999999978e-10,3.122175500000000160e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,4.026357650000000158e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.096531090000000354e-94,1.037708409999999950e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,3.427953890000000169e-93,0.000000000000000000e+00,-2.516335490000000160e-96,6.304893789999999893e-13,2.300511659999999964e-92,-3.246919630000000018e-93,-9.892092300000000313e-105
