time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-2.480618719999999902e-92,3.175710120000000063e-93,3.175520600000000189e-93,9.652343949999999760e-96,9.517706869999999502e-94,3.899763410000000052e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970704900000000097e-54,9.999999979999999707e-10,4.942788409999999913e-42,2.243735589999999901e-45,2.996190369999999820e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-4.341863270000000271e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.952345959999999675e-94,-5.227297999999999783e-45,4.957584469999999681e-42,9.999999979999999707e-10,6.696700160000000345e-11,-3.396563229999999852e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.135861740000000399e-45,-2.480632269999999993e-92,3.175710489999999796e-93,-7.818655250000000610e-101
3.865599999999999852e-04,-2.480017910000000049e-92,3.159738589999999961e-93,3.159569469999999837e-93,-1.263837450000000041e-96,9.469839649999999837e-94,3.880174260000000174e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.459707620000000036e-55,9.999999979999999707e-10,3.823472599999999951e-42,3.124192859999999745e-45,-1.251036229999999996e-48,0.000000000000000000e+00,0.000000000000000000e+00,3.965600000000000114e-04,0.000000000000000000e+00,-4.116438969999999784e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.912400089999999795e-94,3.124057080000000047e-45,3.814337739999999692e-42,9.999999979999999707e-10,9.360027760000000763e-10,-3.395740589999999880e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.879971150000000096e-46,-2.480032259999999877e-92,3.159738589999999961e-93,9.646833810000000038e-105
7.865599999999999502e-04,-2.479407079999999939e-92,3.143314799999999984e-93,3.143146559999999928e-93,-1.257268240000000083e-96,9.420617029999999811e-94,3.860005780000000131e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.383835010000000026e-55,9.999999979999999707e-10,2.674422530000000112e-42,2.648096560000000064e-45,-1.059190240000000009e-48,0.000000000000000000e+00,0.000000000000000000e+00,7.965599999999999764e-04,0.000000000000000000e+00,-4.095042419999999913e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.871272779999999837e-94,2.647981479999999954e-45,2.665297609999999894e-42,9.999999979999999707e-10,9.960008870000000776e-10,-3.394904210000000041e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.758148139999999887e-47,-2.479421419999999863e-92,3.143314799999999984e-93,9.483328160000000327e-105
1.180999999999999975e-03,-2.478804889999999843e-92,3.127202909999999939e-93,3.127035529999999805e-93,-1.250823779999999976e-96,9.372329159999999639e-94,3.840220289999999960e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,1.043225539999999958e-10,3.141668780000000065e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,-4.074052199999999997e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.830926480000000010e-94,1.042391139999999992e-10,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,-3.394079660000000111e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.012142329999999777e-13,-2.478819230000000108e-92,3.127202909999999939e-93,9.592331929999999776e-105
1.580999999999999940e-03,-2.478194349999999986e-92,3.110948240000000086e-93,3.110781729999999946e-93,-1.244322210000000021e-96,9.323613380000000427e-94,3.820259480000000070e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.471220470000000216e-04,9.999999979999999707e-10,1.599558020000000030e-04,3.512927010000000108e-10,3.187265690000000106e-11,6.972000000000000419e+00,0.000000000000000000e+00,1.590999999999999966e-03,0.000000000000000000e+00,-4.052875970000000309e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.790222649999999813e-94,3.511971369999999818e-10,1.608243359999999894e-04,9.999999979999999707e-10,9.999837680000000496e-10,-3.393243699999999947e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.394113450000000158e-12,-2.478208689999999911e-92,3.110948240000000086e-93,9.483328160000000327e-105
1.973361400000000002e-03,-2.477595629999999964e-92,3.095086059999999848e-93,3.094920399999999982e-93,-1.237977629999999926e-96,9.276073930000000429e-94,3.800780650000000039e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.734491100000000036e-04,9.999999979999999707e-10,2.646885180000000011e-04,5.696092129999999897e-10,3.383894700000000243e-11,1.168033679999999919e+01,0.000000000000000000e+00,1.983361400000000028e-03,0.000000000000000000e+00,-4.032211069999999991e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.750501690000000289e-94,5.694990110000000280e-10,2.655243429999999856e-04,9.999999979999999707e-10,9.999989289999999029e-10,-3.392423889999999868e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.263935250000000191e-12,-2.477609959999999986e-92,3.095086059999999848e-93,9.428826269999999592e-105
2.360167739999999899e-03,-2.477005519999999908e-92,3.079527639999999875e-93,3.079362810000000135e-93,-1.231754539999999897e-96,9.229444820000000504e-94,3.781674829999999808e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.207067350000000022e-04,9.999999979999999707e-10,2.717771320000000250e-04,5.642787270000000362e-10,7.795427380000000785e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.370167739999999926e-03,0.000000000000000000e+00,-4.011941880000000301e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.711541340000000295e-94,5.642340859999999672e-10,2.717772430000000151e-04,9.999999979999999707e-10,9.999999250000000384e-10,-3.391615889999999978e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.749490679999999616e-12,-2.477019840000000026e-92,3.079527639999999875e-93,9.401575330000000235e-105
2.760167740000000081e-03,-2.476395430000000115e-92,3.063520779999999943e-93,3.063356800000000051e-93,-1.225352090000000003e-96,9.181471730000000100e-94,3.762018329999999852e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.888960950000000115e-04,9.999999979999999707e-10,2.716573800000000177e-04,5.452500620000000011e-10,7.797132579999999629e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.770167740000000108e-03,0.000000000000000000e+00,-3.991088489999999739e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.671458059999999969e-94,5.452062630000000434e-10,2.716574149999999863e-04,9.999999979999999707e-10,9.999999930000000518e-10,-3.390780529999999956e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.603159159999999946e-12,-2.476409749999999893e-92,3.063520779999999943e-93,9.374324380000000406e-105
3.160167739999999829e-03,-2.475785489999999890e-92,3.047597120000000104e-93,3.047434000000000132e-93,-1.218982919999999933e-96,9.133747999999999490e-94,3.742463989999999928e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.941582569999999877e-04,9.999999979999999707e-10,2.715268779999999767e-04,5.290677899999999924e-10,7.796751100000000103e-12,1.200000000000000000e+01,0.000000000000000000e+00,3.170167739999999856e-03,0.000000000000000000e+00,-3.970343489999999705e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.631583130000000312e-94,5.290247119999999792e-10,2.715268160000000076e-04,9.999999979999999707e-10,9.999999979999999707e-10,-3.389945380000000198e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.462022040000000294e-12,-2.475799810000000009e-92,3.047597120000000104e-93,9.265320609999999409e-105
3.560167740000000011e-03,-2.475175699999999914e-92,3.031756220000000110e-93,3.031593949999999986e-93,-1.212646850000000041e-96,9.086272329999999784e-94,3.723011299999999914e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.260485510000000088e-04,9.999999979999999707e-10,2.713830060000000169e-04,5.152897109999999803e-10,7.794332130000000229e-12,1.200000000000000000e+01,0.000000000000000000e+00,3.570167740000000037e-03,0.000000000000000000e+00,-3.949706319999999905e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.591915449999999643e-94,5.152472519999999948e-10,2.713828269999999732e-04,9.999999979999999707e-10,9.999999979999999707e-10,-3.389110430000000203e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.341464370000000222e-12,-2.475190010000000130e-92,3.031756220000000110e-93,9.292571550000000315e-105
