time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-2.480618719999999902e-92,3.175710120000000063e-93,3.175520600000000189e-93,9.652343949999999760e-96,9.517706869999999502e-94,3.899763410000000052e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970704900000000097e-54,9.999999979999999707e-10,4.942788409999999913e-42,2.243735589999999901e-45,2.996190369999999820e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-4.341863270000000271e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.952345959999999675e-94,-5.227297999999999783e-45,4.957584469999999681e-42,9.999999979999999707e-10,6.696700160000000345e-11,-3.396563229999999852e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.135861740000000399e-45,-2.480632269999999993e-92,3.175710489999999796e-93,-7.818655250000000610e-101
3.125599999999999754e-04,-2.480130929999999922e-92,3.162786379999999849e-93,3.162617099999999830e-93,-1.265056509999999950e-96,9.478973990000000119e-94,3.883916969999999768e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.287479410000000285e-55,9.999999979999999707e-10,4.036243540000000058e-42,3.221237789999999986e-45,-1.290852680000000036e-48,0.000000000000000000e+00,0.000000000000000000e+00,3.225600000000000017e-04,0.000000000000000000e+00,-4.120409570000000131e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.920032159999999501e-94,3.221097779999999800e-45,4.027106839999999976e-42,9.999999979999999707e-10,8.931098479999999952e-10,-3.395895340000000199e-93,0.000000000000000000e+00,0.000000000000000000e+00,-3.932450050000000142e-46,-2.480145280000000090e-92,3.162786379999999849e-93,9.646833810000000038e-105
6.385600000000000390e-04,-2.479633070000000169e-92,3.149381630000000080e-93,3.149213060000000159e-93,-1.259694860000000003e-96,9.438799510000000421e-94,3.867455870000000128e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.750222869999999681e-55,9.999999979999999707e-10,3.099362019999999941e-42,2.815145449999999940e-45,-1.126175960000000004e-48,0.000000000000000000e+00,0.000000000000000000e+00,6.485599999999999568e-04,0.000000000000000000e+00,-4.102946150000000113e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.886464909999999481e-94,2.815023109999999719e-45,3.090233419999999758e-42,9.999999979999999707e-10,9.888437899999999979e-10,-3.395213649999999813e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.922322899999999956e-48,-2.479647419999999997e-92,3.149381630000000080e-93,9.565080979999999947e-105
9.645600000000000484e-04,-2.479135310000000128e-92,3.136033690000000148e-93,3.135865839999999972e-93,-1.254355929999999990e-96,9.398795309999999773e-94,3.851064539999999900e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.274272639999999965e-54,9.999999979999999707e-10,2.163671670000000054e-42,2.460264000000000030e-45,-9.839968559999999832e-49,0.000000000000000000e+00,0.000000000000000000e+00,9.745599999999999662e-04,0.000000000000000000e+00,-4.085556750000000228e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.853039920000000353e-94,2.460157089999999861e-45,2.154551170000000089e-42,9.999999979999999707e-10,9.988356159999999881e-10,-3.394532089999999956e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.045366249999999971e-47,-2.479149650000000053e-92,3.136033690000000148e-93,9.510579099999999684e-105
1.284999999999999901e-03,-2.478646139999999905e-92,3.122968539999999955e-93,3.122801389999999804e-93,-1.249130109999999999e-96,9.359638619999999487e-94,3.835020470000000081e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.285306199999999983e-04,9.999999979999999707e-10,7.709169890000000492e-05,1.721361270000000063e-10,3.117349580000000242e-11,3.419999999999999929e+00,0.000000000000000000e+00,1.294999999999999927e-03,0.000000000000000000e+00,-4.068535749999999701e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.820323069999999964e-94,1.720502830000000048e-10,7.801350720000000349e-05,9.999999979999999707e-10,9.998736950000000009e-10,-3.393862289999999919e-93,0.000000000000000000e+00,0.000000000000000000e+00,8.926580909999999512e-13,-2.478660469999999927e-92,3.122968539999999955e-93,9.565080979999999947e-105
1.611000000000000019e-03,-2.478148570000000065e-92,3.109732549999999797e-93,3.109566100000000097e-93,-1.243835949999999935e-96,9.319969930000000351e-94,3.818766609999999782e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.667624379999999991e-04,9.999999979999999707e-10,1.681207649999999889e-04,3.686281579999999814e-10,3.199842320000000032e-11,7.331999999999999851e+00,0.000000000000000000e+00,1.621000000000000045e-03,0.000000000000000000e+00,-4.051292189999999762e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.787178410000000202e-94,3.685315079999999846e-10,1.689858670000000008e-04,9.999999979999999707e-10,9.999868160000001030e-10,-3.393181009999999986e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.542822820000000036e-12,-2.478162900000000087e-92,3.109732549999999797e-93,9.401575330000000235e-105
1.929361400000000016e-03,-2.477662759999999961e-92,3.096860840000000128e-93,3.096695079999999953e-93,-1.238687510000000002e-96,9.281392989999999797e-94,3.802960080000000134e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.512256590000000366e-04,9.999999979999999707e-10,2.531279240000000120e-04,5.459273620000000108e-10,3.359378069999999865e-11,1.115233680000000049e+01,0.000000000000000000e+00,1.939361400000000043e-03,0.000000000000000000e+00,-4.034523200000000255e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.754945949999999891e-94,5.458188279999999522e-10,2.539664550000000258e-04,9.999999979999999707e-10,9.999985469999999796e-10,-3.392515820000000124e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.061675430000000145e-12,-2.477677089999999983e-92,3.096860840000000128e-93,9.456077210000000498e-105
2.242167739999999850e-03,-2.477185519999999869e-92,3.084265619999999974e-93,3.084100530000000031e-93,-1.233649649999999900e-96,9.243644700000000078e-94,3.787493089999999943e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.686662779999999799e-04,9.999999979999999707e-10,2.718107510000000227e-04,5.705096640000000414e-10,7.794509550000000220e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.252167739999999876e-03,0.000000000000000000e+00,-4.018114420000000179e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.723405870000000241e-94,5.704647490000000340e-10,2.718108809999999912e-04,9.999999979999999707e-10,9.999998320000000170e-10,-3.391862359999999864e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.763652190000000176e-12,-2.477199849999999891e-92,3.084265619999999974e-93,9.428826269999999592e-105
2.568167740000000185e-03,-2.476688249999999845e-92,3.071193660000000075e-93,3.071029279999999804e-93,-1.228421099999999907e-96,9.204467610000000255e-94,3.771440659999999906e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.467553449999999912e-04,9.999999979999999707e-10,2.717160519999999805e-04,5.539985370000000276e-10,7.796578879999999884e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.578167740000000211e-03,0.000000000000000000e+00,-4.001084560000000324e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.690671970000000402e-94,5.539543510000000210e-10,2.717161260000000101e-04,9.999999979999999707e-10,9.999999809999999156e-10,-3.391181479999999885e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.677185529999999869e-12,-2.476702579999999867e-92,3.071193660000000075e-93,9.374324380000000406e-105
2.894167740000000086e-03,-2.476191079999999874e-92,3.058177099999999891e-93,3.058013420000000070e-93,-1.223214719999999898e-96,9.165456569999999539e-94,3.755456270000000112e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.536188620000000130e-04,9.999999979999999707e-10,2.716149840000000172e-04,5.395353560000000128e-10,7.797234489999999974e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.904167740000000112e-03,0.000000000000000000e+00,-3.984126869999999976e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.658076800000000260e-94,5.394918110000000078e-10,2.716149889999999972e-04,9.999999979999999707e-10,9.999999960000000858e-10,-3.390500730000000007e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.553507209999999734e-12,-2.476205399999999993e-92,3.058177099999999891e-93,9.374324380000000406e-105
