time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,1.783204790000000128e-92,-2.287051929999999984e-93,-2.286726529999999816e-93,-5.016502240000000218e-95,-6.854369259999999783e-94,-2.808261319999999825e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970704900000000097e-54,9.999999979999999707e-10,4.942788409999999913e-42,2.243735589999999901e-45,2.996190369999999820e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,2.441836370000000147e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.726139519999999928e-94,-5.227297999999999783e-45,4.957584469999999681e-42,9.999999979999999707e-10,6.696700160000000345e-11,2.441847220000000189e-93,0.000000000000000000e+00,-1.783204790000000041e-96,-7.135861740000000399e-45,1.681603359999999968e-92,-2.287052619999999936e-93,1.379699980000000024e-100
3.125599999999999754e-04,1.758972220000000004e-92,-2.279818820000000087e-93,-2.279670709999999930e-93,3.911103770000000088e-104,-6.832691399999999599e-94,-2.799596279999999750e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.287479410000000285e-55,9.999999979999999707e-10,4.036243540000000058e-42,3.221237789999999986e-45,-1.290852680000000036e-48,0.000000000000000000e+00,0.000000000000000000e+00,3.225600000000000017e-04,0.000000000000000000e+00,2.246376110000000126e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.708471180000000452e-94,3.221097779999999800e-45,4.027106839999999976e-42,9.999999979999999707e-10,8.931098479999999952e-10,2.408664130000000001e-93,0.000000000000000000e+00,-1.758972219999999980e-96,-3.932450050000000142e-46,1.616738840000000036e-92,-2.279818820000000087e-93,-6.976241399999999806e-105
6.385600000000000390e-04,1.734194069999999943e-92,-2.272506920000000083e-93,-2.272359279999999967e-93,3.868545460000000112e-104,-6.810777379999999572e-94,-2.790617330000000117e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.750222869999999681e-55,9.999999979999999707e-10,3.099362019999999941e-42,2.815145449999999940e-45,-1.126175960000000004e-48,0.000000000000000000e+00,0.000000000000000000e+00,6.485599999999999568e-04,0.000000000000000000e+00,2.239171470000000154e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.690162800000000363e-94,2.815023109999999719e-45,3.090233419999999758e-42,9.999999979999999707e-10,9.888437899999999979e-10,2.374733960000000100e-93,0.000000000000000000e+00,-1.734194069999999995e-96,2.922322899999999956e-48,1.593964299999999855e-92,-2.272506920000000083e-93,-6.948990459999999675e-105
9.645600000000000484e-04,1.709764970000000049e-92,-2.265218459999999986e-93,-2.265071299999999985e-93,3.826546009999999962e-104,-6.788933639999999611e-94,-2.781667170000000245e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.274272639999999965e-54,9.999999979999999707e-10,2.163671670000000054e-42,2.460264000000000030e-45,-9.839968559999999832e-49,0.000000000000000000e+00,0.000000000000000000e+00,9.745599999999999662e-04,0.000000000000000000e+00,2.231989920000000113e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.671913130000000423e-94,2.460157089999999861e-45,2.154551170000000089e-42,9.999999979999999707e-10,9.988356159999999881e-10,2.341281749999999951e-93,0.000000000000000000e+00,-1.709764969999999960e-96,2.045366249999999971e-47,1.571510570000000155e-92,-2.265218459999999986e-93,-6.812735739999999622e-105
1.284999999999999901e-03,1.686087909999999970e-92,-2.258077089999999803e-93,-2.257930390000000195e-93,3.785800000000000256e-104,-6.767530729999999996e-94,-2.772897639999999761e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.285306199999999983e-04,9.999999979999999707e-10,7.709169890000000492e-05,1.721361270000000063e-10,3.117349580000000242e-11,3.419999999999999929e+00,0.000000000000000000e+00,1.294999999999999927e-03,0.000000000000000000e+00,2.224953309999999914e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.654031760000000227e-94,1.720502830000000048e-10,7.801350720000000349e-05,9.999999979999999707e-10,9.998736950000000009e-10,2.308859360000000166e-93,0.000000000000000000e+00,-1.686087909999999918e-96,8.926580909999999512e-13,1.549748079999999864e-92,-2.258077089999999803e-93,-6.867237630000000357e-105
1.611000000000000019e-03,1.662336470000000027e-92,-2.250834919999999876e-93,-2.250688689999999883e-93,3.744891650000000174e-104,-6.745825700000000436e-94,-2.764004319999999947e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.667624379999999991e-04,9.999999979999999707e-10,1.681207649999999889e-04,3.686281579999999814e-10,3.199842320000000032e-11,7.331999999999999851e+00,0.000000000000000000e+00,1.621000000000000045e-03,0.000000000000000000e+00,2.217817369999999874e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.635897969999999507e-94,3.685315079999999846e-10,1.689858670000000008e-04,9.999999979999999707e-10,9.999868160000001030e-10,2.276335110000000100e-93,0.000000000000000000e+00,-1.662336469999999909e-96,2.542822820000000036e-12,1.527917220000000019e-92,-2.250834919999999876e-93,-6.839986690000000226e-105
1.929361400000000016e-03,1.639464500000000040e-92,-2.243784860000000085e-93,-2.243639079999999987e-93,3.705452290000000212e-104,-6.724696429999999657e-94,-2.755346909999999739e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.512256590000000366e-04,9.999999979999999707e-10,2.531279240000000120e-04,5.459273620000000108e-10,3.359378069999999865e-11,1.115233680000000049e+01,0.000000000000000000e+00,1.939361400000000043e-03,0.000000000000000000e+00,2.210870729999999878e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.618245219999999841e-94,5.458188279999999522e-10,2.539664550000000258e-04,9.999999979999999707e-10,9.999985469999999796e-10,2.245015179999999956e-93,0.000000000000000000e+00,-1.639464500000000053e-96,4.061675430000000145e-12,1.506894709999999993e-92,-2.243784860000000085e-93,-6.785484800000000266e-105
2.242167739999999850e-03,1.617298150000000022e-92,-2.236879320000000092e-93,-2.236733989999999888e-93,3.667199849999999742e-104,-6.704000299999999876e-94,-2.746866970000000118e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.686662779999999799e-04,9.999999979999999707e-10,2.718107510000000227e-04,5.705096640000000414e-10,7.794509550000000220e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.252167739999999876e-03,0.000000000000000000e+00,2.204066480000000028e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.600954339999999806e-94,5.704647490000000340e-10,2.718108809999999912e-04,9.999999979999999707e-10,9.999998320000000170e-10,2.214661490000000073e-93,0.000000000000000000e+00,-1.617298149999999973e-96,4.763652190000000176e-12,1.486520769999999955e-92,-2.236879320000000092e-93,-6.758233860000000134e-105
2.568167740000000185e-03,1.594515720000000048e-92,-2.229705130000000180e-93,-2.229560270000000017e-93,3.627837670000000265e-104,-6.682499020000000244e-94,-2.738057129999999788e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.467553449999999912e-04,9.999999979999999707e-10,2.717160519999999805e-04,5.539985370000000276e-10,7.796578879999999884e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.578167740000000211e-03,0.000000000000000000e+00,2.196997539999999906e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.582990779999999899e-94,5.539543510000000210e-10,2.717161260000000101e-04,9.999999979999999707e-10,9.999999809999999156e-10,2.183464180000000045e-93,0.000000000000000000e+00,-1.594515720000000014e-96,4.677185529999999869e-12,1.465580570000000050e-92,-2.229705130000000180e-93,-6.785484800000000266e-105
2.894167740000000086e-03,1.572054229999999975e-92,-2.222553950000000001e-93,-2.222409559999999879e-93,3.588994430000000161e-104,-6.661066710000000011e-94,-2.729275549999999805e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.536188620000000130e-04,9.999999979999999707e-10,2.716149840000000172e-04,5.395353560000000128e-10,7.797234489999999974e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.904167740000000112e-03,0.000000000000000000e+00,2.189951259999999929e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.565084840000000236e-94,5.394918110000000078e-10,2.716149889999999972e-04,9.999999979999999707e-10,9.999999960000000858e-10,2.152706340000000181e-93,0.000000000000000000e+00,-1.572054229999999929e-96,4.553507209999999734e-12,1.444935350000000049e-92,-2.222553950000000001e-93,-6.703731970000000174e-105
