time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-2.480618719999999902e-92,3.175710120000000063e-93,3.175520600000000189e-93,9.652343949999999760e-96,9.517706869999999502e-94,3.899763410000000052e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970704900000000097e-54,9.999999979999999707e-10,4.942788409999999913e-42,2.243735589999999901e-45,2.996190369999999820e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-4.341863270000000271e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.952345959999999675e-94,-5.227297999999999783e-45,4.957584469999999681e-42,9.999999979999999707e-10,6.696700160000000345e-11,-3.396563229999999852e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.135861740000000399e-45,-2.480632269999999993e-92,3.175710489999999796e-93,-7.818655250000000610e-101
2.365599999999999984e-04,-2.480247020000000001e-92,3.165919610000000080e-93,3.165750150000000018e-93,-1.266309739999999999e-96,9.488364370000000014e-94,3.887764589999999871e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.168046979999999873e-55,9.999999979999999707e-10,4.254829020000000281e-42,3.324055000000000050e-45,-1.333691579999999937e-48,0.000000000000000000e+00,0.000000000000000000e+00,2.465599999999999975e-04,0.000000000000000000e+00,-4.124491470000000288e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.927878169999999789e-94,3.323910510000000038e-45,4.245690419999999759e-42,9.999999979999999707e-10,8.189763819999999911e-10,-3.396054280000000168e-93,0.000000000000000000e+00,0.000000000000000000e+00,-8.105599289999999904e-46,-2.480261359999999926e-92,3.165919610000000080e-93,9.701335700000000773e-105
4.865599999999999765e-04,-2.479865189999999887e-92,3.155624609999999916e-93,3.155455710000000129e-93,-1.262191939999999956e-96,9.457509939999999777e-94,3.875122279999999854e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.007648849999999958e-55,9.999999979999999707e-10,3.536041909999999803e-42,2.997686860000000258e-45,-1.199683450000000017e-48,0.000000000000000000e+00,0.000000000000000000e+00,4.965599999999999485e-04,0.000000000000000000e+00,-4.111079380000000177e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.902098159999999895e-94,2.997556590000000020e-45,3.526909530000000220e-42,9.999999979999999707e-10,9.680028170000000864e-10,-3.395531470000000163e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.059385290000000427e-47,-2.479879540000000056e-92,3.155624609999999916e-93,9.646833810000000038e-105
7.365600000000000359e-04,-2.479483430000000117e-92,3.145363100000000136e-93,3.145194750000000125e-93,-1.258087520000000040e-96,9.426755839999999668e-94,3.862521089999999875e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.156576960000000182e-55,9.999999979999999707e-10,2.817955720000000084e-42,2.703392750000000042e-45,-1.081346550000000063e-48,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,-4.097710900000000128e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.876401980000000456e-94,2.703275270000000070e-45,2.808829559999999847e-42,9.999999979999999707e-10,9.943442740000000773e-10,-3.395008749999999966e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.480880249999999919e-47,-2.479497770000000041e-92,3.145363100000000136e-93,9.565080979999999947e-105
9.865600000000000411e-04,-2.479101719999999861e-92,3.135134949999999788e-93,3.134967149999999979e-93,-1.253996450000000103e-96,9.396101750000000321e-94,3.849960880000000079e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.328056639999999866e-54,9.999999979999999707e-10,2.100569790000000067e-42,2.437993700000000025e-45,-9.750858120000000070e-49,0.000000000000000000e+00,0.000000000000000000e+00,9.965600000000000673e-04,0.000000000000000000e+00,-4.084385889999999742e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.850789360000000344e-94,2.437887749999999863e-45,2.091449840000000028e-42,9.999999979999999707e-10,9.990003100000001025e-10,-3.394486099999999857e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.045986160000000099e-47,-2.479116060000000126e-92,3.135134949999999788e-93,9.592331929999999776e-105
1.231000000000000106e-03,-2.478728560000000152e-92,3.125166440000000122e-93,3.124999169999999943e-93,-1.250009230000000012e-96,9.366225790000000419e-94,3.837719499999999950e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.833457179999999911e-04,9.999999979999999707e-10,6.131867259999999929e-05,1.373520479999999893e-10,3.124587259999999749e-11,2.771999999999999797e+00,0.000000000000000000e+00,1.240999999999999916e-03,0.000000000000000000e+00,-4.071399130000000310e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.825826890000000058e-94,1.372675679999999998e-10,6.225717249999999892e-05,9.999999979999999707e-10,9.998163519999999278e-10,-3.393975149999999981e-93,0.000000000000000000e+00,0.000000000000000000e+00,6.286579110000000231e-13,-2.478742900000000077e-92,3.125166440000000122e-93,9.537830040000000590e-105
1.480999999999999895e-03,-2.478346970000000096e-92,3.115003969999999950e-93,3.114837239999999900e-93,-1.245944420000000072e-96,9.335768539999999709e-94,3.825239939999999851e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.784864869999999865e-04,9.999999979999999707e-10,1.324816909999999978e-04,2.925494050000000253e-10,3.150485969999999853e-11,5.772000000000000242e+00,0.000000000000000000e+00,1.490999999999999921e-03,0.000000000000000000e+00,-4.058159680000000241e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.800378729999999740e-94,2.924573759999999755e-10,1.333635490000000055e-04,9.999999979999999707e-10,9.999675369999999793e-10,-3.393452669999999841e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.891417879999999859e-12,-2.478361310000000020e-92,3.115003969999999950e-93,9.537830040000000590e-105
1.730999999999999900e-03,-2.477965440000000138e-92,3.104874539999999844e-93,3.104708359999999995e-93,-1.241892839999999931e-96,9.305410320000000236e-94,3.812800950000000014e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.412436060000000264e-04,9.999999979999999707e-10,2.004823550000000003e-04,4.367986359999999945e-10,3.255301660000000305e-11,8.772000000000000242e+00,0.000000000000000000e+00,1.740999999999999926e-03,0.000000000000000000e+00,-4.044963290000000153e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.775013319999999619e-94,4.366975650000000112e-10,2.013356470000000128e-04,9.999999979999999707e-10,9.999942599999999283e-10,-3.392930259999999789e-93,0.000000000000000000e+00,0.000000000000000000e+00,3.127633510000000161e-12,-2.477979780000000063e-92,3.104874539999999844e-93,9.537830040000000590e-105
1.973361400000000002e-03,-2.477595629999999964e-92,3.095086059999999848e-93,3.094920399999999982e-93,-1.237977629999999926e-96,9.276073930000000429e-94,3.800780650000000039e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.734491100000000036e-04,9.999999979999999707e-10,2.646885180000000011e-04,5.696092129999999897e-10,3.383894700000000243e-11,1.168033679999999919e+01,0.000000000000000000e+00,1.983361400000000028e-03,0.000000000000000000e+00,-4.032211069999999991e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.750501690000000289e-94,5.694990110000000280e-10,2.655243429999999856e-04,9.999999979999999707e-10,9.999989289999999029e-10,-3.392423889999999868e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.263935250000000191e-12,-2.477609959999999986e-92,3.095086059999999848e-93,9.428826269999999592e-105
2.210167739999999940e-03,-2.477234339999999947e-92,3.085551750000000013e-93,3.085386600000000055e-93,-1.234164079999999944e-96,9.247499270000000064e-94,3.789072469999999906e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.824984599999999835e-04,9.999999979999999707e-10,2.718197480000000138e-04,5.722517179999999850e-10,7.794225939999999999e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.220167739999999966e-03,0.000000000000000000e+00,-4.019789959999999946e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.726626510000000361e-94,5.722067259999999655e-10,2.718198840000000125e-04,9.999999979999999707e-10,9.999997910000001032e-10,-3.391929200000000033e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.758108149999999950e-12,-2.477248669999999968e-92,3.085551750000000013e-93,9.401575330000000235e-105
