time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-2.480618719999999902e-92,3.175710120000000063e-93,3.175520600000000189e-93,9.652343949999999760e-96,9.517706869999999502e-94,3.899763410000000052e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970704900000000097e-54,9.999999979999999707e-10,4.942788409999999913e-42,2.243735589999999901e-45,2.996190369999999820e-42,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-4.341863270000000271e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.952345959999999675e-94,-5.227297999999999783e-45,4.957584469999999681e-42,9.999999979999999707e-10,6.696700160000000345e-11,-3.396563229999999852e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.135861740000000399e-45,-2.480632269999999993e-92,3.175710489999999796e-93,-7.818655250000000610e-101
3.365600000000000167e-04,-2.480094280000000033e-92,3.161797589999999823e-93,3.161628350000000097e-93,-1.264661010000000050e-96,9.476010529999999883e-94,3.882702720000000035e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.694156940000000123e-55,9.999999979999999707e-10,3.967230019999999963e-42,3.189437119999999702e-45,-1.277751900000000042e-48,0.000000000000000000e+00,0.000000000000000000e+00,3.465599999999999887e-04,0.000000000000000000e+00,-4.119121390000000239e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.917556090000000057e-94,3.189298499999999815e-45,3.958093909999999900e-42,9.999999979999999707e-10,9.094922360000000030e-10,-3.395845149999999952e-93,0.000000000000000000e+00,0.000000000000000000e+00,-3.110661280000000098e-46,-2.480108619999999958e-92,3.161797589999999823e-93,9.646833810000000038e-105
6.865600000000000131e-04,-2.479559779999999954e-92,3.147412729999999824e-93,3.147244269999999858e-93,-1.258907329999999987e-96,9.432898650000000123e-94,3.865038050000000013e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.929327169999999686e-55,9.999999979999999707e-10,2.961516909999999925e-42,2.759843700000000012e-45,-1.103981310000000069e-48,0.000000000000000000e+00,0.000000000000000000e+00,6.965600000000000394e-04,0.000000000000000000e+00,-4.100381109999999699e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.881534520000000452e-94,2.759723770000000000e-45,2.952389509999999987e-42,9.999999979999999707e-10,9.920014179999999133e-10,-3.395113289999999891e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.015967239999999942e-47,-2.479574119999999879e-92,3.147412729999999824e-93,9.565080979999999947e-105
1.031000000000000015e-03,-2.479033879999999936e-92,3.133320279999999870e-93,3.133152569999999869e-93,-1.253270610000000016e-96,9.390663130000000502e-94,3.847732460000000021e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,2.252398800000000090e-12,1.805025869999999912e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,-4.082021769999999968e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.846245180000000002e-94,2.207020219999999905e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,-3.394393200000000150e-93,0.000000000000000000e+00,0.000000000000000000e+00,7.332852670000000334e-16,-2.479048219999999861e-92,3.133320279999999870e-93,9.374324380000000406e-105
1.381000000000000066e-03,-2.478499600000000108e-92,3.119064989999999868e-93,3.118898039999999907e-93,-1.247568760000000065e-96,9.347939539999999571e-94,3.830226880000000111e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.046584959999999926e-04,9.999999979999999707e-10,1.045273149999999989e-04,2.321147580000000069e-10,3.124869860000000033e-11,4.572000000000000064e+00,0.000000000000000000e+00,1.391000000000000092e-03,0.000000000000000000e+00,-4.063450280000000204e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.810548050000000337e-94,2.320260580000000111e-10,1.054264980000000056e-04,9.999999979999999707e-10,9.999350740000001032e-10,-3.393661649999999809e-93,0.000000000000000000e+00,0.000000000000000000e+00,1.380616690000000056e-12,-2.478513940000000033e-92,3.119064989999999868e-93,9.510579099999999684e-105
1.730999999999999900e-03,-2.477965440000000138e-92,3.104874539999999844e-93,3.104708359999999995e-93,-1.241892839999999931e-96,9.305410320000000236e-94,3.812800950000000014e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.412436060000000264e-04,9.999999979999999707e-10,2.004823550000000003e-04,4.367986359999999945e-10,3.255301660000000305e-11,8.772000000000000242e+00,0.000000000000000000e+00,1.740999999999999926e-03,0.000000000000000000e+00,-4.044963290000000153e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.775013319999999619e-94,4.366975650000000112e-10,2.013356470000000128e-04,9.999999979999999707e-10,9.999942599999999283e-10,-3.392930259999999789e-93,0.000000000000000000e+00,0.000000000000000000e+00,3.127633510000000161e-12,-2.477979780000000063e-92,3.104874539999999844e-93,9.537830040000000590e-105
2.060167739999999980e-03,-2.477463180000000132e-92,3.091587650000000191e-93,3.091422169999999942e-93,-1.236578320000000043e-96,9.265589049999999880e-94,3.796484579999999903e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.524418269999999716e-04,9.999999979999999707e-10,2.718612880000000195e-04,5.807278169999999943e-10,7.792683179999999929e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.070167740000000006e-03,0.000000000000000000e+00,-4.027653399999999697e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.741741179999999648e-94,5.806824510000000044e-10,2.718614449999999885e-04,9.999999979999999707e-10,9.999994120000000072e-10,-3.392242549999999956e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.591291740000000033e-12,-2.477477510000000154e-92,3.091587650000000191e-93,9.374324380000000406e-105
2.410167740000000031e-03,-2.476929249999999976e-92,3.077522209999999929e-93,3.077357490000000145e-93,-1.230952410000000090e-96,9.223434500000000387e-94,3.779212160000000185e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.017533080000000350e-04,9.999999979999999707e-10,2.717626679999999781e-04,5.617275230000000324e-10,7.795757509999999749e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.420167740000000057e-03,0.000000000000000000e+00,-4.009329259999999939e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.706519500000000059e-94,5.616829949999999705e-10,2.717627710000000002e-04,9.999999979999999707e-10,9.999999460000000699e-10,-3.391511460000000008e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.734789179999999630e-12,-2.476943570000000094e-92,3.077522209999999929e-93,9.401575330000000235e-105
2.760167740000000081e-03,-2.476395430000000115e-92,3.063520779999999943e-93,3.063356800000000051e-93,-1.225352090000000003e-96,9.181471730000000100e-94,3.762018329999999852e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.888960950000000115e-04,9.999999979999999707e-10,2.716573800000000177e-04,5.452500620000000011e-10,7.797132579999999629e-12,1.200000000000000000e+01,0.000000000000000000e+00,2.770167740000000108e-03,0.000000000000000000e+00,-3.991088489999999739e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.671458059999999969e-94,5.452062630000000434e-10,2.716574149999999863e-04,9.999999979999999707e-10,9.999999930000000518e-10,-3.390780529999999956e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.603159159999999946e-12,-2.476409749999999893e-92,3.063520779999999943e-93,9.374324380000000406e-105
3.110167740000000132e-03,-2.475861719999999869e-92,3.049583040000000014e-93,3.049419810000000087e-93,-1.219777250000000002e-96,9.139699869999999876e-94,3.744902720000000234e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.043622949999999841e-04,9.999999979999999707e-10,2.715438660000000213e-04,5.309507079999999814e-10,7.796911129999999425e-12,1.200000000000000000e+01,0.000000000000000000e+00,3.120167740000000158e-03,0.000000000000000000e+00,-3.972930710000000057e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.636556140000000269e-94,5.309075460000000489e-10,2.715438179999999963e-04,9.999999979999999707e-10,9.999999979999999707e-10,-3.390049759999999801e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.478494879999999661e-12,-2.475876039999999988e-92,3.049583040000000014e-93,9.265320609999999409e-105
