time,vvin,vsource,vmain,iL151,vfb,ven,vready,vxu151ref,vxu151cmd,iVBAT,venable,vVIN5,vsource5,iL121,vBAT,vswitchon,vrestartage,vsnsevent,iVR158,vdamped,iVbulkpass,vbulksw_out,vbulk_en_pin,vrail5,vPROTECTED_12V,vgood5,vgooddelay,vsnsiso,vpgdelay,iVpass,ven151,vdisg,vdisdrain,iVR165
0.000000000000000000e+00,-7.424632369999999756e-93,9.478280590000000279e-94,9.469708530000000179e-94,8.239535729999999940e-95,2.850437140000000126e-94,1.162948089999999998e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.282281389999999917e-53,9.999999979999999707e-10,4.954138149999999972e-42,-6.093498219999999712e-45,7.433103440000000555e-43,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,0.000000000000000000e+00,-2.460645070000000146e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.361345489999999880e-94,-7.942402859999999412e-45,4.951837099999999896e-42,9.999999979999999707e-10,6.696700160000000345e-11,-1.011530289999999987e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.971829120000000482e-45,-7.423964089999999798e-93,9.478326329999999822e-94,-9.731826229999999893e-100
1.365600000000000071e-04,-7.423822840000000140e-93,9.392446520000000277e-94,9.388443140000000324e-94,-3.756807750000000107e-97,2.824623949999999779e-94,1.152968550000000037e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.651170649999999515e-55,9.999999979999999707e-10,4.558950880000000094e-42,-7.597562219999999743e-45,-6.147638580000000301e-52,0.000000000000000000e+00,0.000000000000000000e+00,1.465600000000000062e-04,0.000000000000000000e+00,-3.074649449999999820e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.341081330000000018e-94,-7.597558620000000572e-45,4.549819629999999716e-42,9.999999979999999707e-10,6.379365840000000148e-10,-1.011420000000000041e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.506750540000000002e-45,-7.423832189999999742e-93,9.392446520000000277e-94,4.019514090000000263e-105
2.865599999999999940e-04,-7.423672929999999980e-93,9.300619880000000484e-94,9.296655639999999565e-94,-3.720078760000000159e-97,2.797008600000000152e-94,1.141696389999999991e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.941009279999999985e-55,9.999999979999999707e-10,4.127886679999999972e-42,-7.595016540000000506e-45,-2.179074119999999877e-52,0.000000000000000000e+00,0.000000000000000000e+00,2.965600000000000202e-04,0.000000000000000000e+00,-3.044589709999999916e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.318193399999999944e-94,-7.595012869999999530e-45,4.118759160000000074e-42,9.999999979999999707e-10,8.719998320000000454e-10,-1.011399579999999931e-93,0.000000000000000000e+00,0.000000000000000000e+00,-3.223080789999999943e-46,-7.423682289999999655e-93,9.300619880000000484e-94,3.985450410000000056e-105
4.365600000000000079e-04,-7.423523029999999894e-93,9.209690989999999537e-94,9.205765510000000400e-94,-3.683708859999999831e-97,2.769663230000000086e-94,1.130534419999999983e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.406497330000000152e-56,9.999999979999999707e-10,3.697074750000000169e-42,-7.592451249999999974e-45,-7.504076160000000141e-53,0.000000000000000000e+00,0.000000000000000000e+00,4.465599999999999800e-04,0.000000000000000000e+00,-3.014823829999999797e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.295529239999999955e-94,-7.592447580000000242e-45,3.687950960000000112e-42,9.999999979999999707e-10,9.547481390000000813e-10,-1.011379160000000034e-93,0.000000000000000000e+00,0.000000000000000000e+00,-1.102713630000000030e-46,-7.423532390000000421e-93,9.209690989999999537e-94,3.965012200000000303e-105
5.865599999999999677e-04,-7.423373129999999808e-93,9.119651089999999608e-94,9.115763989999999679e-94,-3.647694540000000250e-97,2.742585210000000198e-94,1.119481590000000029e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.451481159999999655e-55,9.999999979999999707e-10,3.266514930000000313e-42,-7.589883180000000090e-45,-2.378475839999999781e-53,0.000000000000000000e+00,0.000000000000000000e+00,5.965599999999999939e-04,0.000000000000000000e+00,-2.985348960000000166e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.273086660000000061e-94,-7.589879499999999388e-45,3.257394860000000313e-42,9.999999979999999707e-10,9.840021230000000829e-10,-1.011358739999999924e-93,0.000000000000000000e+00,0.000000000000000000e+00,-7.229833610000000116e-47,-7.423382490000000335e-93,9.119651089999999608e-94,3.924135789999999718e-105
7.365600000000000359e-04,-7.423223239999999795e-93,9.030491470000000041e-94,9.026642379999999587e-94,-3.612032320000000195e-97,2.715771920000000217e-94,1.108536809999999957e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.133856429999999516e-55,9.999999979999999707e-10,2.836207070000000133e-42,-7.587315309999999675e-45,-5.572428750000000018e-54,0.000000000000000000e+00,0.000000000000000000e+00,7.465599999999999537e-04,0.000000000000000000e+00,-2.956162259999999992e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250863490000000100e-94,-7.587311639999999943e-45,2.827090729999999976e-42,9.999999979999999707e-10,9.943442740000000773e-10,-1.011338309999999954e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.548326169999999865e-47,-7.423232590000000248e-93,9.030491470000000041e-94,3.883259370000000211e-105
8.865599999999999956e-04,-7.423073339999999709e-93,8.942203540000000209e-94,8.938392070000000201e-94,-3.576718750000000259e-97,2.689220780000000061e-94,1.097699039999999964e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080598249999999950e-54,9.999999979999999707e-10,2.406151039999999885e-42,-7.584748199999999486e-45,7.210261649999999615e-55,0.000000000000000000e+00,0.000000000000000000e+00,8.965600000000000219e-04,0.000000000000000000e+00,-2.927260899999999757e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228857589999999918e-94,-7.584744520000000029e-45,2.397038420000000104e-42,9.999999979999999707e-10,9.980005320000000403e-10,-1.011317890000000057e-93,0.000000000000000000e+00,0.000000000000000000e+00,-6.424556469999999911e-47,-7.423082700000000236e-93,8.942203540000000209e-94,3.849195699999999702e-105
1.031000000000000015e-03,-7.422929009999999601e-93,8.858004010000000359e-94,8.854228430000000031e-94,-3.543040450000000199e-97,2.663899149999999903e-94,1.087363129999999998e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.559382310000000077e-06,9.999999979999999707e-10,9.786760950000000483e-07,1.151879119999999992e-12,1.805882080000000126e-11,3.719999999999999973e-01,0.000000000000000000e+00,1.041000000000000042e-03,0.000000000000000000e+00,-2.899697889999999914e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.207870739999999980e-94,1.106580670000000060e-12,1.553565479999999970e-06,9.999999979999999707e-10,9.992653480000000842e-10,-1.011298229999999986e-93,0.000000000000000000e+00,0.000000000000000000e+00,4.607203599999999550e-16,-7.422938370000000128e-93,8.858004010000000359e-94,2.663779679999999855e-105
1.180999999999999975e-03,-7.422779119999999589e-93,8.771402419999999537e-94,8.767663759999999843e-94,-3.508401410000000144e-97,2.637855150000000100e-94,1.076732370000000000e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.399866440000000129e-04,9.999999979999999707e-10,4.643295010000000233e-05,5.307133989999999865e-11,3.143723409999999967e-11,2.172000000000000153e+00,0.000000000000000000e+00,1.191000000000000001e-03,0.000000000000000000e+00,-2.871348570000000045e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.186285159999999959e-94,5.299021349999999984e-11,4.739046870000000007e-05,9.999999979999999707e-10,9.997402770000000791e-10,-1.011277810000000089e-93,0.000000000000000000e+00,0.000000000000000000e+00,2.339718140000000007e-13,-7.422788480000000115e-93,8.771402419999999537e-94,3.781068340000000063e-105
1.330999999999999935e-03,-7.422629239999999649e-93,8.685647509999999587e-94,8.681945399999999730e-94,-3.474101010000000166e-97,2.612065769999999925e-94,1.066205540000000057e-94,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.656709419999999993e-04,9.999999979999999707e-10,9.032337830000000461e-05,1.038549380000000026e-10,3.122175229999999681e-11,3.971999999999999975e+00,0.000000000000000000e+00,1.340999999999999961e-03,0.000000000000000000e+00,-2.843276410000000076e-98,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.164910620000000005e-94,1.037720910000000058e-10,9.123341410000000294e-05,9.999999979999999707e-10,9.999081789999999257e-10,-1.011257389999999979e-93,0.000000000000000000e+00,0.000000000000000000e+00,6.304997060000000295e-13,-7.422638600000000176e-93,8.685647509999999587e-94,3.726566450000000103e-105
