Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity
C159,33n /100V C0G 5% CT,RevB:I32_FINISHED_C159,TDK,CGA4J1C0G2A333J125AE,,1
C161,100n /50V X7R ISO INPUT,RevB:I32_FINISHED_C161,Murata,GCM188R71H104KA57D,,1
C162,470u /10V POLYMER INPUT,RevB:I32_FINISHED_C162,KEMET,T598X477M010ATE025,,1
C165,220n /50V X7R EN DELAY,RevB:I32_FINISHED_C165,TDK,CGA3E3X7R1H224K080AB,,1
C166,68n /100V C0G 5% BULK CT,RevB:I32_FINISHED_C166,TDK,CGA5L1C0G2A683J160AE,,1
C167,1u /16V X7R BULK INPUT,RevB:I32_FINISHED_C167,Murata,GCM188R71C105KA64D,,1
C206,680u /6.3V POLYMER,RevB:KEMET_T598_X_7343_Median_RVB22_C206,KEMET,T598X687M006ATE025,,1
C532,10n /50V C0G 5% OUT HF,RevB:C_0603_1608Metric,Murata,GRM1885C1H103JA01D,,1
D101,S5J /600V REVERSE BLOCK,RevB:D_SMC,Vishay,S5JHE3_A/H,,1
D105,SMCJ110A /RAW OV CLAMP,RevB:D_SMC,Vishay,SMCJ110AHE3_A/H,,1
L121,47u /MSS1246T,RevB:Coilcraft_MSS1246T_12x12_RVB22_L121,Coilcraft,MSS1246T-473MLC,,1
L151,15u /XGL5030,RevB:L_Coilcraft_XAL5030-XXX,Coilcraft,XGL5030-153MEC,,1
L406,1.6nH 5% RF MATCH,RevB:Murata_LQW18AS_1608,Murata,LQW18AS1N6J0ZD,,1
Q152,DMG2302UKQ /DISCHARGE,RevB:I32_FINISHED_Q152,Diodes Incorporated,DMG2302UKQ-7,,1
Q153,DMG2302UKQ /DISCHARGE,RevB:I32_FINISHED_Q153,Diodes Incorporated,DMG2302UKQ-7,,1
R101,12.1k /1W CTRL SURGE FEED,RevB:R_2512_6332Metric,Vishay,CRCW251212K1FKEG,,1
R102,549k /0.1% OV COORD,RevB:R_1206_3216Metric,Vishay,TNPW1206549KBEEA,,1
R103,24.3k /0.1% UV OV COORD,RevB:R_0603_1608Metric,Vishay,TNPW060324K3BEEA,,1
R153,10mR MAIN OUTPUT ISOLATION,RevB:WSLP0603_MANUFACTURER_R153,Vishay,WSLP0603R0100FEA,,1
R155,11.8k /0.02% 2ppm FB TOP,RevB:I32_FINISHED_R155,Vishay,TNPU060311K8HWEA00,,1
R156,5.05k /0.02% 2ppm FB BOTTOM,RevB:I32_FINISHED_R156,Vishay,TNPU06035K05HWEA00,,1
R157,10k /1% VSEL ADJUST,RevB:R_0603_1608Metric_RVB22_R157,Vishay,CRCW060310K0FKEA,,1
R158,300m /1% BULK DAMPING,RevB:I32_FINISHED_R158,Vishay,WSL2512R3000FEA,,1
R159,47k /1% PG PULLUP,RevB:I32_FINISHED_R159,Vishay,CRCW060347K0FKEA,,1
R160,6.34k /0.02% SNS TOP,RevB:I32_FINISHED_R160,Vishay,TNPU06036K34HWEA00,,1
R161,1k /0.02% SNS BOTTOM,RevB:I32_FINISHED_R161,Vishay,TNPU06031K00HWEA00,,1
R162,4.7k /0.02% ISO EN TOP,RevB:I32_FINISHED_R162,Vishay,TNPU06034K70HWEA00,,1
R163,1k /0.02% ISO EN BOTTOM,RevB:I32_FINISHED_R163,Vishay,TNPU06031K00HWEA00,,1
R164,4.7k /DISCHARGE GATE FEED,RevB:I32_FINISHED_R164,Vishay,CRCW06034K70FKEA,,1
R165,4.7R /1.5W PULSE DISCHARGE,RevB:I32_FINISHED_R165,Vishay,CRCW25124R70FKEGHP,,1
R166,330k /1% U151 EN DIVIDER,RevB:I32_FINISHED_R166,Vishay,CRCW0603330KFKEA,,1
R167,330k /1% U151 EN DIVIDER,RevB:I32_FINISHED_R167,Vishay,CRCW0603330KFKEA,,1
R168,1k /1% RESERVOIR BLEED,RevB:I32_FINISHED_R168,Vishay,CRCW06031K00FKEA,,1
R169,3.01k /0.02% BULK EN TOP,RevB:I32_FINISHED_R169,Vishay,TNPU06033K01HWEA00,,1
R170,1k /0.02% BULK EN BOTTOM,RevB:I32_FINISHED_R170,Vishay,TNPU06031K00HWEA00,,1
R204,100k /1% RESET DELAY,RevB:I32_FINISHED_R204,Vishay,CRCW0603100KFKEA,,1
U101,LTC4367HMS8#WTRPBF,RevB:MSOP-8_3x3mm_P0.65mm,Analog Devices,LTC4367HMS8#WTRPBF,,1
U152,TPS22953-Q1 REVERSE BLOCKING,RevB:I32_FINISHED_U152,Texas Instruments,TPS22953QDQCRQ1,,1
U153,TPS22953-Q1 BULK CHARGER,RevB:I32_FINISHED_U153,Texas Instruments,TPS22953QDQCRQ1,,1
U202,TPS3808G33-Q1 3.07V RESET,RevB:TPS3808_DBV0006A,Texas Instruments,TPS3808G33QDBVRQ1,,1
