Designator,Mid X,Mid Y,Layer,Rotation
C101,32.500000mm,6.788863mm,Bottom,0.000000
C102,37.300000mm,7.088863mm,Bottom,0.000000
C122,41.600000mm,16.088863mm,Bottom,90.000000
C129,43.200000mm,10.788863mm,Bottom,90.000000
C151,43.200000mm,25.988863mm,Bottom,-90.000000
C152,40.000000mm,27.313863mm,Bottom,-90.000000
C153,29.300000mm,29.288863mm,Bottom,180.000000
C154,30.300000mm,26.088863mm,Bottom,-90.000000
C155,26.000000mm,19.288863mm,Bottom,0.000000
C156,31.100000mm,19.288863mm,Bottom,0.000000
C157,36.200000mm,19.288863mm,Bottom,0.000000
C158,38.000000mm,23.288863mm,Bottom,0.000000
C159,44.300000mm,40.588863mm,Bottom,0.000000
C161,40.600000mm,36.788863mm,Bottom,0.000000
C166,85.850000mm,44.288863mm,Bottom,90.000000
C167,78.500000mm,41.688863mm,Bottom,0.000000
C205,76.200000mm,27.388863mm,Bottom,0.000000
C301,23.900000mm,31.088863mm,Bottom,0.000000
C302,17.200000mm,27.588863mm,Bottom,0.000000
C501,22.000000mm,7.488863mm,Bottom,0.000000
C502,12.700000mm,13.688863mm,Bottom,180.000000
C503,22.700000mm,11.788863mm,Bottom,0.000000
C511,79.000000mm,5.788863mm,Bottom,180.000000
C512,79.000000mm,3.788863mm,Bottom,180.000000
C514,83.500000mm,12.058863mm,Bottom,-90.000000
C521,71.500000mm,5.788863mm,Bottom,180.000000
C522,71.500000mm,3.788863mm,Bottom,180.000000
C524,73.500000mm,10.438863mm,Bottom,-90.000000
C531,76.000000mm,14.888863mm,Bottom,0.000000
D102,35.000000mm,2.788863mm,Bottom,0.000000
D301,14.600000mm,31.788863mm,Bottom,180.000000
D402,63.600000mm,28.988863mm,Bottom,-90.000000
D501,14.200000mm,20.788863mm,Bottom,0.000000
J401,65.300000mm,32.488863mm,Bottom,0.000000
L151,25.700000mm,24.788863mm,Bottom,180.000000
L406,65.300000mm,28.288863mm,Bottom,90.000000
R101,26.000000mm,4.288863mm,Bottom,0.000000
R102,28.500000mm,16.188863mm,Bottom,0.000000
R103,27.800000mm,13.788863mm,Bottom,0.000000
R104,27.800000mm,11.688863mm,Bottom,0.000000
R105,35.800000mm,14.588863mm,Bottom,0.000000
R106,38.000000mm,12.288863mm,Bottom,180.000000
R107,38.000000mm,9.788863mm,Bottom,0.000000
R108,40.000000mm,4.288863mm,Bottom,0.000000
R151,38.600000mm,39.588863mm,Bottom,0.000000
R152,33.500000mm,23.288863mm,Bottom,0.000000
R153,41.000000mm,20.288863mm,Bottom,0.000000
R154,44.000000mm,22.288863mm,Bottom,0.000000
R155,44.000000mm,30.488863mm,Bottom,90.000000
R156,41.250000mm,31.187863mm,Bottom,-90.000000
R158,82.700000mm,45.288863mm,Bottom,90.000000
R168,86.350000mm,39.288863mm,Bottom,0.000000
R169,79.800000mm,39.588863mm,Bottom,0.000000
R170,83.200000mm,39.588863mm,Bottom,0.000000
R203,72.800000mm,31.588863mm,Bottom,0.000000
R204,75.600000mm,34.388863mm,Bottom,90.000000
R302,26.000000mm,29.088863mm,Bottom,0.000000
R303,26.000000mm,35.488863mm,Bottom,180.000000
R407,46.200000mm,25.888863mm,Bottom,90.000000
R408,64.800000mm,23.288863mm,Bottom,0.000000
R409,44.000000mm,33.288863mm,Bottom,0.000000
R410,63.600000mm,20.888863mm,Bottom,-90.000000
R411,60.900000mm,20.888863mm,Bottom,90.000000
R501,12.800000mm,10.788863mm,Bottom,0.000000
R502,17.000000mm,10.788863mm,Bottom,0.000000
R503,12.800000mm,8.288863mm,Bottom,0.000000
R504,17.000000mm,8.288863mm,Bottom,0.000000
R505,22.000000mm,9.588863mm,Bottom,0.000000
R506,18.500000mm,3.288863mm,Bottom,0.000000
R511,82.600000mm,2.688863mm,Bottom,0.000000
R512,83.500000mm,4.788863mm,Bottom,0.000000
R513,83.900000mm,9.288863mm,Bottom,180.000000
R514,83.500000mm,6.488863mm,Bottom,0.000000
R515,86.250000mm,13.388863mm,Bottom,0.000000
R521,75.000000mm,1.988863mm,Bottom,0.000000
R522,75.000000mm,4.788863mm,Bottom,0.000000
R523,72.150000mm,7.888863mm,Bottom,0.000000
R524,75.600000mm,7.088863mm,Bottom,180.000000
R525,85.100000mm,15.488863mm,Bottom,0.000000
U101,33.000000mm,10.788863mm,Bottom,0.000000
