Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Assembly,Route,SupplierMPN,SourceURL,Status,Identity,CatalogAssembly,StockSnapshot,PreorderMinimum,SupplierAcceptance,Substitutions
C102,10n /100V X7R,RevB:C_0603_1608Metric,TDK,CGA3E2X7R2A103K080AE,C3858696,1,FACTORY,JLC_CATALOG,CGA3E2X7R2A103K080AE,https://jlcpcb.com/partdetail/C3858696,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,48,REQUIRED,NOT_ALLOWED
C124,2.2n /50V C0G 5%,RevB:C_0603_1608Metric,TDK,CGA3E2C0G1H222J080AA,C2169200,1,FACTORY,JLC_CATALOG,CGA3E2C0G1H222J080AA,https://jlcpcb.com/partdetail/C2169200,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,115,REQUIRED,NOT_ALLOWED
C125,3.3n /100V C0G 5%,RevB:C_0603_1608Metric,TDK,CGA3E2C0G2A332J080AA,C2171993,1,FACTORY,JLC_CATALOG,CGA3E2C0G2A332J080AA,https://jlcpcb.com/partdetail/C2171993,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,747,REQUIRED,NOT_ALLOWED
C159,33n /100V C0G 5% CT,RevB:I32_FINISHED_C159,TDK,CGA4J1C0G2A333J125AE,C2181132,1,FACTORY,JLC_CATALOG,CGA4J1C0G2A333J125AE,https://jlcpcb.com/partdetail/C2181132,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,164,REQUIRED,NOT_ALLOWED
C162,470u /10V POLYMER INPUT,RevB:I32_FINISHED_C162,KEMET,T598X477M010ATE025,C19941093,1,FACTORY,JLC_CATALOG,T598X477M010ATE025,https://jlcpcb.com/partdetail/C19941093,CATALOG_PREORDER,EXACT_MPN,manualWeld,0,4,REQUIRED,NOT_ALLOWED
C166,68n /100V C0G 5% BULK CT,RevB:I32_FINISHED_C166,TDK,CGA5L1C0G2A683J160AE,C3869625,1,FACTORY,JLC_CATALOG,CGA5L1C0G2A683J160AE,https://jlcpcb.com/partdetail/C3869625,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,40,REQUIRED,NOT_ALLOWED
C206,680u /6.3V POLYMER,RevB:KEMET_T598_X_7343_Median_RVB22_C206,KEMET,T598X687M006ATE025,C4951511,1,FACTORY,JLC_CATALOG,T598X687M006ATE025,https://jlcpcb.com/partdetail/C4951511,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,6,REQUIRED,NOT_ALLOWED
C501,22n /50V X7R,RevB:C_0603_1608Metric,TDK,CGA3E2X7R1H223K080AE,C2176922,1,FACTORY,JLC_CATALOG,CGA3E2X7R1H223K080AE,https://jlcpcb.com/partdetail/C2176922,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,963,REQUIRED,NOT_ALLOWED
C513,22n /50V X7R,RevB:C_0603_1608Metric,TDK,CGA3E2X7R1H223K080AE,C2176922,1,FACTORY,JLC_CATALOG,CGA3E2X7R1H223K080AE,https://jlcpcb.com/partdetail/C2176922,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,963,REQUIRED,NOT_ALLOWED
C523,22n /50V X7R,RevB:C_0603_1608Metric,TDK,CGA3E2X7R1H223K080AE,C2176922,1,FACTORY,JLC_CATALOG,CGA3E2X7R1H223K080AE,https://jlcpcb.com/partdetail/C2176922,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,963,REQUIRED,NOT_ALLOWED
D102,SMAJ30A /TVS,RevB:D_SMA,Vishay,SMAJ30AHE3_A/H,C1978408,1,FACTORY,JLC_CATALOG,SMAJ30AHE3_A/H,https://jlcpcb.com/partdetail/C1978408,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,63,REQUIRED,NOT_ALLOWED
D103,SMCJ24A /TVS,RevB:D_SMC_RVB22_D103,Vishay,SMCJ24AHE3_A/H,C1981952,1,FACTORY,JLC_CATALOG,SMCJ24AHE3_A/H,https://jlcpcb.com/partdetail/C1981952,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,18,REQUIRED,NOT_ALLOWED
D105,SMCJ110A /RAW OV CLAMP,RevB:D_SMC,Vishay,SMCJ110AHE3_A/H,C1982070,1,FACTORY,JLC_CATALOG,SMCJ110AHE3_A/H,https://jlcpcb.com/partdetail/C1982070,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,23,REQUIRED,NOT_ALLOWED
L121,47u /100mOhm 2.5A BPCI,RevB:I32_PROCUREMENT_L121,Chilisin / Pulse,BPCI00121280470M00,C6471075,1,FACTORY,JLC_CATALOG,BPCI00121280470M00,https://jlcpcb.com/partdetail/C6471075,CATALOG_PREORDER,EXACT_MPN,manualWeld,0,35,REQUIRED,NOT_ALLOWED
L151,15u /XGL5030,RevB:L_Coilcraft_XAL5030-XXX,Coilcraft,XGL5030-153MEC,C3911485,1,FACTORY,JLC_CATALOG,XGL5030-153MEC,https://jlcpcb.com/partdetail/C3911485,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,2,REQUIRED,NOT_ALLOWED
L406,1.6nH 5% RF MATCH,RevB:Murata_LQW18AS_1608,Murata,LQW18AS1N6J0ZD,C7295894,1,FACTORY,JLC_CATALOG,LQW18AS1N6J0ZD,https://jlcpcb.com/partdetail/C7295894,CATALOG_PREORDER,EXACT_MPN,manualWeld,0,113,REQUIRED,NOT_ALLOWED
R101,12.1k /1W CTRL SURGE FEED,RevB:R_2512_6332Metric,Vishay,CRCW251212K1FKEG,C4263918,1,FACTORY,JLC_CATALOG,CRCW251212K1FKEG,https://jlcpcb.com/partdetail/C4263918,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,86,REQUIRED,NOT_ALLOWED
R102,549k /0.1% OV COORD,RevB:R_1206_3216Metric,Vishay,TNPW1206549KBEEA,C4328168,1,FACTORY,JLC_CATALOG,TNPW1206549KBEEA,https://jlcpcb.com/partdetail/C4328168,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,31,REQUIRED,NOT_ALLOWED
R122,309k /0.1%,RevB:R_0805_2012Metric,Vishay,TNPW0805309KBEEA,C1710754,1,FACTORY,JLC_CATALOG,TNPW0805309KBEEA,https://jlcpcb.com/partdetail/C1710754,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,57,REQUIRED,NOT_ALLOWED
R156,5.05k /0.01% 5ppm FB BOTTOM,RevB:I32_PROCUREMENT_R156,Vishay,PLT1206Z5051LBTS,C4074185,1,FACTORY,JLC_CATALOG,PLT1206Z5051LBTS,https://jlcpcb.com/partdetail/C4074185,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,2,REQUIRED,NOT_ALLOWED
R158,300m /1% BULK DAMPING,RevB:I32_FINISHED_R158,Vishay,WSL2512R3000FEA,C2076134,1,FACTORY,JLC_CATALOG,WSL2512R3000FEA,https://jlcpcb.com/partdetail/C2076134,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,34,REQUIRED,NOT_ALLOWED
R160,6.34k /0.1% 10ppm SNS TOP,RevB:I32_PROCUREMENT_R160,YAGEO,RT0805BRB076K34L,C864499,1,FACTORY,JLC_CATALOG,RT0805BRB076K34L,https://jlcpcb.com/partdetail/C864499,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,72,REQUIRED,NOT_ALLOWED
R402,220R,RevB:R_0603_1608Metric,Yageo,AA0603FR-07220RL,C2100485,1,FACTORY,JLC_CATALOG,AA0603FR-07220RL,https://jlcpcb.com/partdetail/C2100485,CATALOG_PREORDER,EXACT_MPN,smtWeld,0,2357,REQUIRED,NOT_ALLOWED
