Reference,MPN,PreviousLCSC,CurrentLCSC,SupplierMPN,Reason,SourceURL
C101,CGA4J2X7R2A104K125AA,C342919,C342919,CGA4J2X7R2A104KT0Y0U,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C342919
C103,CGA6N3X7R2A225K230AB,C342652,C342652,CGA6N3X7R2A225KT0Y0U,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C342652
C121,CGA6N3X7R2A225K230AB,C342652,C342652,CGA6N3X7R2A225KT0Y0U,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C342652
C122,CGA6N3X7R2A225K230AB,C342652,C342652,CGA6N3X7R2A225KT0Y0U,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C342652
C123,CGA4J2X7R2A104K125AA,C342919,C342919,CGA4J2X7R2A104KT0Y0U,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C342919
C126,CGA3E2C0G1H101J080AA,C76709,C76709,CGA3E2C0G1H101JT0Y0N,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C76709
C129,CGA6N3X7R2A225K230AB,C342652,C342652,CGA6N3X7R2A225KT0Y0U,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C342652
C159,CGA4J1C0G2A333J125AE,,C2181132,CGA4J1C0G2A333J125AE,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C2181132
C161,GCM188R71H104KA57D,,C85864,GCM188R71H104KA57D,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C85864
C162,T598X477M010ATE025,,C19941093,T598X477M010ATE025,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C19941093
C166,CGA5L1C0G2A683J160AE,,C3869625,CGA5L1C0G2A683J160AE,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C3869625
C167,GCM188R71C105KA64D,,C161212,GCM188R71C105KA64D,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C161212
C206,T598X687M006ATE025,,C4951511,T598X687M006ATE025,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C4951511
C503,CGA4J2X7R2A104K125AA,C342919,C342919,CGA4J2X7R2A104KT0Y0U,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C342919
C514,CGA3E2C0G1H101J080AA,C76709,C76709,CGA3E2C0G1H101JT0Y0N,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C76709
C524,CGA3E2C0G1H101J080AA,C76709,C76709,CGA3E2C0G1H101JT0Y0N,DOCUMENTED_CATALOG_ALIAS,https://jlcpcb.com/partdetail/C76709
C532,GRM1885C1H103JA01D,,C85973,GRM1885C1H103JA01D,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C85973
D101,S5JHE3_A/H,,C511410,S5JHE3_A/H,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C511410
D105,SMCJ110AHE3_A/H,,C1982070,SMCJ110AHE3_A/H,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C1982070
F1,0430451200,C277636,C277636,430451200,DOCUMENTED_FORMAT_ALIAS,https://jlcpcb.com/partdetail/C277636
L151,XGL5030-153MEC,,C3911485,XGL5030-153MEC,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C3911485
L406,LQW18AS1N6J0ZD,,C7295894,LQW18AS1N6J0ZD,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C7295894
Q152,DMG2302UKQ-7,,C5224573,DMG2302UKQ-7,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C5224573
Q153,DMG2302UKQ-7,,C5224573,DMG2302UKQ-7,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C5224573
R101,CRCW251212K1FKEG,,C4263918,CRCW251212K1FKEG,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C4263918
R102,TNPW1206549KBEEA,,C4328168,TNPW1206549KBEEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C4328168
R103,TNPW060324K3BEEA,,C4269123,TNPW060324K3BEEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C4269123
R104,ERA3AEB1472V,C2074591,C2074591,ERA-3AEB1472V,DOCUMENTED_FORMAT_ALIAS,https://jlcpcb.com/partdetail/C2074591
R153,WSLP0603R0100FEA,,C5334451,WSLP0603R0100FEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C5334451
R157,CRCW060310K0FKEA,,C844918,CRCW060310K0FKEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C844918
R158,WSL2512R3000FEA,,C2076134,WSL2512R3000FEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C2076134
R159,CRCW060347K0FKEA,,C844929,CRCW060347K0FKEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C844929
R164,CRCW06034K70FKEA,,C844931,CRCW06034K70FKEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C844931
R165,CRCW25124R70FKEGHP,,C2075852,CRCW25124R70FKEGHP,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C2075852
R166,CRCW0603330KFKEA,,C844776,CRCW0603330KFKEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C844776
R167,CRCW0603330KFKEA,,C844776,CRCW0603330KFKEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C844776
R168,CRCW06031K00FKEA,,C844920,CRCW06031K00FKEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C844920
R204,CRCW0603100KFKEA,,C844916,CRCW0603100KFKEA,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C844916
U152,TPS22953QDQCRQ1,,C5219894,TPS22953QDQCRQ1,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C5219894
U153,TPS22953QDQCRQ1,,C5219894,TPS22953QDQCRQ1,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C5219894
U202,TPS3808G33QDBVRQ1,,C414616,TPS3808G33QDBVRQ1,EXACT_CATALOG_ASSIGNMENT_ADDED,https://jlcpcb.com/partdetail/C414616
