Reference,UUID,PCB X mm,PCB Y mm,Drill mm,Land mm
U201.41,bfd86e59-5ad7-5341-82c0-a7a9fda47620,77.469766,20.375,0.2,0.6
U201.41,eb93c0d7-3450-5704-8eca-1f9154b4f56c,77.919766,20.375,0.2,0.6
U201.41,d72b7fda-9a42-544b-8389-2a21a70fede0,78.369766,20.375,0.2,0.6
U201.41,a27c8483-d7d2-5af4-840b-783456b2104a,78.819766,20.375,0.2,0.6
U201.41,7ee3916a-276a-58b0-8ffa-547df9d26231,79.269766,20.375,0.2,0.6
U201.41,99d78d50-eb70-5980-8bc6-96748fa20b85,79.719766,20.375,0.2,0.6
U201.41,ef24142a-c94a-59f2-8a5c-205671624e14,80.169766,20.375,0.2,0.6
U201.41,84fbb7f2-7bee-5553-89b1-b75e49bdef76,77.469766,20.825,0.2,0.6
U201.41,4c45f2fc-05e3-5793-8ebe-25ed8a659ba7,77.919766,20.825,0.2,0.6
U201.41,f589eeeb-e381-5f48-8d3a-0c21b3919866,78.369766,20.825,0.2,0.6
U201.41,347575c4-650f-5f7a-8a86-4845297e1b3a,78.819766,20.825,0.2,0.6
U201.41,b1d5274d-96c5-57c6-867f-1221c18c24d2,79.269766,20.825,0.2,0.6
U201.41,bfeaef42-e32e-5acf-8fc0-f329b55f8391,79.719766,20.825,0.2,0.6
U201.41,bb615e3c-0a78-551e-8654-915b467d0378,80.169766,20.825,0.2,0.6
U201.41,ef78647c-eca7-5292-83f4-b25b6f8270ce,77.469766,21.275,0.2,0.6
U201.41,18e08ea4-2dad-56f0-8f50-bf1f335ed795,77.919766,21.275,0.2,0.6
U201.41,6c5a68b8-1b52-5e12-8412-10d2cd189d1d,78.369766,21.275,0.2,0.6
U201.41,7cc6e6ef-a4b6-5ff2-87b2-4824f184d87d,78.819766,21.275,0.2,0.6
U201.41,6b996bb8-9e90-52bc-8c18-5c8cbd8765cd,79.269766,21.275,0.2,0.6
U201.41,14164b14-4235-54f1-8db8-d45c2850566b,79.719766,21.275,0.2,0.6
U201.41,fe750b02-70d0-5481-88cb-1fa418ceab42,80.169766,21.275,0.2,0.6
U201.41,9c434a9b-dd07-54f3-8786-f42c34b7c0b4,77.469766,21.725,0.2,0.6
U201.41,8cb29710-771b-5273-89a4-5dbcb9a6258f,77.919766,21.725,0.2,0.6
U201.41,b443c3fa-8779-599f-8a9f-f1285307357d,78.369766,21.725,0.2,0.6
U201.41,2144b62f-fe15-5ce5-888c-b7cf6de5cd34,78.819766,21.725,0.2,0.6
U201.41,bda0c4bc-81b2-52be-83e1-883a89cc7b84,79.269766,21.725,0.2,0.6
U201.41,4924afd5-07da-54da-878a-4d6d352f60dd,79.719766,21.725,0.2,0.6
U201.41,22883634-ebbd-5b92-8bdf-2711079423b1,80.169766,21.725,0.2,0.6
U201.41,9840c434-1445-5f6d-824a-61dd19494463,77.469766,22.175,0.2,0.6
U201.41,b752b41e-fafa-5a1b-842f-89f1ac40ef28,77.919766,22.175,0.2,0.6
U201.41,b73b45d0-ebee-5829-8bb2-a065bb10d88e,78.369766,22.175,0.2,0.6
U201.41,59ac719f-ece3-574f-8dce-92e5152a7857,78.819766,22.175,0.2,0.6
U201.41,7fe1fc58-4404-5dc0-8a32-d32b13a215f6,79.269766,22.175,0.2,0.6
U201.41,ba8f99d2-fe4a-5bc0-8a6e-60cb433d11b7,79.719766,22.175,0.2,0.6
U201.41,eaabd8e5-f6cf-5d66-8e42-697f5a4de0cf,80.169766,22.175,0.2,0.6
U201.41,a2b09f65-d9de-563e-8383-6cc0a2f082cc,77.469766,22.625,0.2,0.6
U201.41,c47721ea-32dd-56ce-8f35-3787d41f6334,77.919766,22.625,0.2,0.6
U201.41,a39abf8d-62e7-5dd5-8ee4-303136cf05ed,78.369766,22.625,0.2,0.6
U201.41,ba67ae4e-5efd-57f4-8b90-1048aad54d22,78.819766,22.625,0.2,0.6
U201.41,3ef280a0-7d97-5854-8778-15e311975df9,79.269766,22.625,0.2,0.6
U201.41,a09e8c2b-e543-5524-86a2-5e9ef15d68c1,79.719766,22.625,0.2,0.6
U201.41,84007739-5138-50e7-875f-6861225ff66c,80.169766,22.625,0.2,0.6
U201.41,51941c55-fcd9-56e9-8a85-28371980e442,77.469766,23.075,0.2,0.6
U201.41,cbc101e4-3c1e-59f4-874d-8a0386458c2c,77.919766,23.075,0.2,0.6
U201.41,589eab7f-dfc5-5ccb-8970-bbbcf94be2c0,78.369766,23.075,0.2,0.6
U201.41,1fe4e66b-a2c7-583f-8229-3123e94a1ca1,78.819766,23.075,0.2,0.6
U201.41,dbed8ccc-fd30-5858-89e6-91ed111f8886,79.269766,23.075,0.2,0.6
U201.41,bb0630d0-93c1-5889-8e34-4a5bd5182b44,79.719766,23.075,0.2,0.6
R153.2,744040f0-f2a8-5899-a69c-202637932746,41.4,21,0.3,0.6
